Gene_name,Rank
PLGRKT,5.038812226109883
EXO1,5.035664234248348
HASPIN,5.033945613109136
COX5A,5.031819377454824
PCSK9,5.028447433785471
BZW2,5.027409649351239
GLIPR1-AS1,5.025497089996988
MAPKAPK3,5.023215562732275
EBPL,5.022005898205443
HAL,5.01789645029474
AK2,5.017444455412964
AMER2,5.012941995952051
PHB1P16,5.012018860428688
ENSG00000275371,5.010686939477605
COQ3,5.009482384506587
PSPH,5.007772879375355
CIAPIN1,5.005762346021218
TRIM16,5.00377162512318
ENSG00000308172,5.003539647639794
SEMA7A,5.003237891895488
CARHSP1,5.003144967061887
PLA2G2F,5.001940068918436
SYT5,4.995746783084599
NAA50,4.993186030898452
H3C7,4.992488727016051
PHF24,4.9809811864328735
TWF1,4.978688602962232
NFE2L3,4.9767471555147775
RPP40,4.975511646287631
FDFT1,4.97409267352282
S100A16,4.972755660724813
CLCA2,4.971466153792667
H3C13,4.971274237050364
BLM,4.961069543433171
PSORS1C2,4.960516142314408
SORD2P,4.953654204741534
PHAF1,4.9491452750350895
HSPA14,4.947549670048141
ENSG00000260810,4.946485227231026
PTAFR,4.942434329606138
CFAP251,4.939697530370393
ERO1A,4.9383789807044085
RBM47,4.933917481909866
TOB1-AS1,4.932941720786132
CIAO2AP2,4.9321961798692255
PRSS3,4.930607190161144
MED8,4.929504717387144
OR2I1,4.928819203582958
CCDC85C,4.928714734213347
NCAPG,4.926097198001259
ATP12A,4.923456647650941
GPR15,4.920459876021331
NABP1,4.918354985926317
TRIM25,4.91789811625164
KLHL18,4.917619791306066
CD226,4.917082136411044
ZBP1,4.915157468234169
DHRS9,4.912488798943362
RTP4,4.910931402326494
UFD1,4.910638006138515
KCNK6,4.91031111006432
LRATD1,4.905513650239096
SLC35A4,4.904242494813964
PSMD14,4.904219479308463
CYB5R2,4.896367872474743
LINC01206,4.894077744254414
PNP,4.893205602646468
EI24,4.890070971451465
ERVMER34-1,4.886279521408027
FNDC10,4.885645478535531
TDG,4.884316708782465
KIF23,4.884053072166878
H2BC10,4.883084698491597
MALT1,4.878250007798185
BZW1,4.877832346022311
KIF11,4.876278151622344
FZD5,4.874690551357713
LINC01094,4.873570842772644
UGT1A7,4.872893173945092
PDZK1IP1,4.872191096806879
NOD2,4.8713027816835375
TMPRSS11A,4.869087113432297
LINC00589,4.866109351496031
CCR7,4.856654260085747
ATP1B1,4.853034967013036
SCNN1D,4.852278072656325
CHI3L1,4.848336837451617
SMPD3,4.847490086860847
ENSG00000234455,4.8470992412598415
SLC23A2,4.831848068104275
KYAT3,4.830412034931339
ALOX12B,4.829638550291359
JMY,4.824371415787178
TMEM123,4.822929430006127
CMTM6,4.819512973835653
IL23A,4.819364522712811
PTGER3,4.811854583338334
ARPC5L,4.811330662683735
PSME3,4.808058744189163
LRRC8B,4.806661443415399
SUNO1,4.8060144922409895
ENSG00000296234,4.804624830801631
CD48,4.803186730760223
KRT6B,4.802051422292157
RAD51AP1,4.801518193248656
ZCCHC9,4.791909757718734
PSMB2,4.788127842943018
SPRR2F,4.785807579586671
ENSG00000290657,4.783363460366744
CYCS,4.783001183082968
GID8,4.777777099241942
XAF1,4.776791769324471
KLK6,4.774871026133193
C1QBP,4.772575128647996
ATP1B3,4.772232051209056
ENSG00000296098,4.771322553107015
TRPV3,4.769335846319864
GCH1,4.769074721586499
GINS3,4.768969815932935
CCL22,4.768049093610261
RFC3,4.7659960576189135
NSDHL,4.763784754784846
H2AC14,4.76262639399929
LINC02978,4.76152886411728
CDC6,4.756384074624767
HEATR3,4.755776114246721
TMC1,4.755128571481297
NOP16,4.750520148506358
UCHL3,4.7490050753908575
EIF4E,4.747578828691413
SLC27A4,4.747495937126045
CMAS,4.747321746238323
RCC1,4.7445483946492
ENSG00000291138,4.736882177139687
MYBL2,4.733440898541942
RAB11B-AS1,4.733106688209604
RAB24,4.729317884359291
ZFAND6,4.725689204316987
LINC01644,4.724519276639102
POLB,4.715771345548163
ENSG00000283283,4.713616435851497
USP6NL,4.713499790563819
VSNL1,4.712738965759543
PSG7,4.707441582957476
MYRF,4.70613678087237
RAB38,4.7044995960323615
NAE1,4.702958371260069
GZMB,4.69785979257117
TMEM165,4.694902975513879
ACAT2,4.692891562926507
CPA4,4.689469443379646
IPCEF1,4.686037254021004
UQCRFS1,4.675185068429371
GINS2,4.67108451260029
LYZ,4.671025989610908
PRKCH,4.669999833036197
DNAJB6,4.656085306752284
ENSG00000225886,4.654539025966621
ENSG00000286962,4.653964825784485
ENSG00000297743,4.6480065211104
SERPINA1,4.647091308575324
IFITM10,4.646534374326194
NIP7,4.645781521407887
ATOX1,4.6454178698494895
ENSG00000280032,4.640279469593589
CXCL17,4.639290908382283
H4C13,4.639059504125471
SERPINB1,4.637240296554039
TMEM117,4.635592981191288
ENSG00000300175,4.635314030323039
FAM111B,4.634523947293433
ENSG00000259252,4.634233466910714
FANCI,4.6311126187625815
KRTAP13-1,4.628025641717902
CUL1,4.625593096352387
ANKRD13A,4.62463333379053
ENSG00000300510,4.6182662284852665
ENSG00000253768,4.61730340407442
FCMR,4.61656274459182
H2BC9,4.609622574694756
ENSG00000286162,4.6096198078906205
THOC3,4.606606538275426
IL7R,4.605194637989319
ATAD3A,4.604698736737801
PCNA,4.603853942718925
RPL29P4,4.603048227507528
CXCL10,4.598829244103235
RNF225,4.597719393487161
DIO2-AS1,4.596803878032767
HRH3,4.596510321674031
RIMS3,4.594654302603466
TRBC2,4.590908110683374
ENSG00000309708,4.590488934490653
PTGES2-AS1,4.588887463145871
ATP6V1G1,4.585076973854723
LCK,4.580587079059433
RAMAC,4.578335100742651
ENTPD7,4.5780012501191205
TRIM22,4.577206101844446
BIRC5,4.576322137762262
CD177,4.576068516563709
EIF4H,4.573134893194869
LYPLA1,4.57088725291251
OXA1L,4.570543669744739
PPIL1,4.57037684129528
FABP6,4.568709273099436
H2BC17,4.568021007636973
CNOT11,4.563975058452479
TAP2,4.562110981056032
ATP6V0D1,4.560154432548308
VIPR1,4.558776212702181
BMAL2-AS1,4.558334804096268
IL17F,4.555030432280598
FAM43A,4.553558836896656
LINC01139,4.552887391649205
ZNF589,4.551740058293689
FH,4.551130124362714
ASPM,4.550039314067889
EIF5A,4.549616852018186
CDKN3,4.546324974090488
CYP4F11,4.544864858496493
H3C10,4.541752590562244
CYRIB,4.540602055199493
PSMD7,4.540047490000603
LTB,4.533557623423093
LRRC20,4.52340292593808
EPSTI1,4.522434285417499
SNORD39,4.51839192853946
SLC16A6,4.516994716040943
SLC7A11-AS1,4.515975298693978
AP1S3,4.514527876325102
RAN,4.512252418275101
CALML3,4.501100280645298
IFNE,4.500934138186205
IFI44L,4.49935565887167
AMPD3,4.49402546437055
GGCT,4.491875699192213
STS,4.487032565022207
HOMER1,4.486006096425108
MAPK6,4.485432728316762
ENSG00000304767,4.48462178731793
FANCD2,4.48306752506071
DCAF13,4.482344966764927
PGK1,4.482166319207436
MICALL1,4.482136127503395
PLA2G4E,4.481175741263331
MTCH2,4.479216333946937
TOP2A,4.47688980129096
CYP2R1,4.474496734268829
LMNB1,4.471570010207454
PORCN,4.4705313546480205
PSMA3,4.469660428754053
SLC18B1,4.468715283387454
ZIC4,4.468324213034994
ENSG00000303036,4.462741405544452
ALOXE3P1,4.45926386538515
ACP3,4.45908819532148
CERNA2,4.4587894156849694
PGLYRP4,4.458528505634109
STARD4,4.451677426429367
PLAC8,4.449787642320275
H2BC13,4.449691737144008
CCT2,4.449239302142089
SHROOM2,4.4446743744457455
LINC02936,4.443330277829014
PCCA-DT,4.440314238657527
WASL,4.439797856102861
IFIT3,4.43830709885397
RIGI,4.433929797265918
ENSG00000295133,4.433119010345116
KRTAP5-AS1,4.430731879016101
NUDT5,4.430461621164537
NAA20,4.428599447019088
ENSG00000295003,4.428142437423101
FAM217B,4.426713346715236
H2AZ1,4.4264856730672735
GARS1,4.423464426781475
ATOSA,4.421558945223478
KIF14,4.420129678255623
ALAS1,4.409020821490963
ENSG00000260592,4.408169455002448
TOMM40,4.40580881545819
MCM10,4.404215270969219
ENSG00000280027,4.403711783093433
LINC00518,4.4010805331947775
ZC3H12D,4.398523792236286
MYO1D-DT,4.398256827163769
PITHD1,4.397023532365409
EIF4A3,4.395911943318346
ATXN7L3,4.393873314144058
CITED4,4.390601500742047
CASK,4.390500303882849
PSME2,4.390028926686854
E2F7,4.389146039227691
RAB27A,4.381624381742713
ENSG00000261606,4.380881016318062
KBTBD8,4.380563972745006
HRH2,4.379629719618944
CD164L2,4.379584460975198
PSMG1,4.377724149842272
RARS1,4.376854020459504
DLG3,4.375593329734435
TMEM241,4.371581214837525
ATG9B,4.367339440132758
ENSG00000309630,4.365116311500596
IL21R,4.3624087327271015
YOD1,4.36217755216325
CDCA8,4.361791421189939
RMI2,4.3556315082148345
SLC6A15,4.35023026402997
ENSG00000283167,4.347303124124295
NRBF2,4.346862084583334
UGCG,4.344163639150322
ENSG00000214999,4.3437723870707785
FUT7,4.340136339119372
COQ2,4.339697417569854
TMPO-AS1,4.339537962771998
PTPN2,4.336399915039804
ENSG00000227748,4.333349950656112
CDC25A,4.330867685619825
PNPT1,4.330861414711392
LINC02028,4.330093532117215
DARS1,4.327024914532679
KIF20B,4.325640787033313
R3HCC1L,4.324082594817582
FADS2B,4.322574831671963
PAEP,4.321195008565132
CXCL9,4.321019438603936
ENSG00000289539,4.319881016551856
CHRNA6,4.318659546195356
NUP210,4.315549770333575
LINC01214,4.314545568509953
STX6,4.308175907650085
UBE2G1,4.308064082978244
A2ML1,4.306229599957874
UBE2R2-AS1,4.305504823568539
MRPS12,4.302771508974598
SEC23B,4.292783992760033
TRIM41,4.289289348479748
MRPL58,4.289103249197303
DNAJC5,4.2875480427021175
STYK1,4.287333421539738
H3C3,4.279874306231538
NEK2,4.2794652795336345
IGSF22,4.27826604338273
DENND1B,4.277075831778186
PIGW,4.2745410939844
CENPE,4.273978300749023
CMTR2,4.272134210643672
CLLU1,4.268907457934122
SNHG16,4.267828880561555
IL20,4.267767682695002
CPEB4,4.266952721255199
ENSG00000298074,4.266720688792009
CCR4,4.266253529246468
DBF4,4.26594060615371
ENSG00000263325,4.265648284109833
FBXW11,4.264613949623811
ENSG00000309062,4.263896140107707
ENSG00000287090,4.262079260152012
XPO5,4.260334395845553
WIPI2,4.256391256913444
BRCA2,4.256378940213123
ZP4,4.253180413092823
KLRK1-AS1,4.24745990821346
HELLS,4.2434266456688965
MOSPD1,4.243423420382879
SPIB,4.241477007535532
PTPN22,4.240591598794532
MBD1,4.240333942348747
EIF2S2,4.239343958092797
RAB11A,4.2288279679949925
ENSG00000258875,4.221838198648767
PSMD1,4.21947551506981
ENSG00000303876,4.218940981798571
SMAP1,4.21587491091999
STX3,4.215817425176862
CENPX,4.213900620557118
ANKRD20A5P,4.213056537501995
ADAM7-AS1,4.211376840779997
UCK2,4.211284520308083
KRT17,4.211084243190621
ARL11,4.210736177218002
TIMELESS,4.209521276624065
ENSG00000235523,4.20936471568276
VPS9D1-AS1,4.204139795661495
BRIP1,4.203152265300313
TRIM72,4.20171079772643
EDEM1,4.201631882611853
ZYG11A,4.200905206496724
