Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR7543039_2 - polya	(1, 0.01144771966702151)	(2, 0.013677428379286549)	(3, 0.01459753602510731)	(4, 0.016251471854711503)	(5, 0.017309877889014526)	(6, 0.018198938957829067)	(7, 0.019296858817412738)	(8, 0.02244667517549854)	(9, 0.0262597593150809)	(10, 0.030576644726991502)	(12, 0.033341201288591)	(14, 0.03707949140174928)	(16, 0.04270174425596695)	(18, 0.04662349141507109)	(20, 0.05048455662820851)	(22, 0.054270827814921874)	(24, 0.05759845638677058)	(26, 0.061960500456144776)	(28, 0.0661687228485336)	(30, 0.06992535866628646)	(32, 0.07360437804152378)	(34, 0.07837708365220755)	(36, 0.08317660221576034)	(38, 0.08783641118278512)	(40, 0.09487269449883162)	(42, 0.10066146990244629)	(44, 0.10735482966337861)	(46, 0.11492454962071384)	(48, 0.12244487729644826)	(50, 0.1305056976537001)	(52, 0.13819960391906022)	(54, 0.14866512278624852)	(56, 0.156459224822856)	(58, 0.16318786478493175)	(60, 0.1698755797136811)	(62, 0.1761018296114744)	(64, 0.1835953443343398)	(66, 0.19237870321100917)	(68, 0.19983270410859394)	(70, 0.20922147123688462)	(72, 0.2177225885044065)	(74, 0.22466149846529715)	(76, 0.23201530359163453)	(78, 0.23918706288007185)	(80, 0.24456235432628548)	(82, 0.24974713268632454)	(84, 0.25753135626661183)	(86, 0.2662610892375432)	(88, 0.27272583329506606)
SRR7543039_clean_1 - polya	(1, 0.01858635375006368)	(2, 0.020732371378534124)	(3, 0.022843868616198065)	(4, 0.0246849561258778)	(5, 0.026531797034025282)	(6, 0.028047817530277186)	(7, 0.029972329317739285)	(8, 0.03200903237532249)	(9, 0.0341809402968978)	(10, 0.037379829844966336)	(12, 0.04170494714309677)	(14, 0.046552185352175444)	(16, 0.05087586430068894)	(18, 0.05503125634402078)	(20, 0.058773842047291615)	(22, 0.06261567387413111)	(24, 0.0658548372114739)	(26, 0.06925221900667979)	(28, 0.0731487081189629)	(30, 0.07677191080402795)	(32, 0.08084244021996048)	(34, 0.0851747492661756)	(36, 0.08912445731428541)	(38, 0.09339204062773834)	(40, 0.09857872934641422)	(42, 0.10412644381894134)	(44, 0.10950874808552069)	(46, 0.11447824601203904)	(48, 0.11950959297208569)	(50, 0.12464162440531795)	(52, 0.12955934174562656)	(54, 0.13413185517787019)	(56, 0.13904238077009412)	(58, 0.1445354379571776)	(60, 0.14973651017202289)	(62, 0.15451758429872242)	(64, 0.1603055031572781)	(66, 0.16535986371119574)	(68, 0.16945628342023314)	(70, 0.1734894157461253)	(72, 0.17836829764677659)	(74, 0.1825956071709553)	(76, 0.18569093554660435)						
SRR7543039_clean_2 - polya	(1, 0.014138976734493576)	(2, 0.016379925437681877)	(3, 0.019360185843975947)	(4, 0.021319218022244537)	(5, 0.0231344152388194)	(6, 0.024569888156522817)	(7, 0.026413852365436426)	(8, 0.02803055733487394)	(9, 0.029635755507375957)	(10, 0.03188101925941507)	(12, 0.03489867675574951)	(14, 0.03848592070039111)	(16, 0.04136693498311651)	(18, 0.04387254001582127)	(20, 0.04652917175830445)	(22, 0.049571281198126815)	(24, 0.0521200367193397)	(26, 0.05506865343406114)	(28, 0.058365350756081416)	(30, 0.0612147213472342)	(32, 0.06502347113288415)	(34, 0.0690522884099255)	(36, 0.0739081567167058)	(38, 0.07874388812884897)	(40, 0.0857874862029909)	(42, 0.09289293331066112)	(44, 0.09844496283203905)	(46, 0.10397110206031213)	(48, 0.10931457088723417)	(50, 0.1147659159354265)	(52, 0.12238773055557721)	(54, 0.12892359121494026)	(56, 0.13662595341363948)	(58, 0.1445354379571776)	(60, 0.15141506417498868)	(62, 0.15759277577973435)	(64, 0.16444651170444058)	(66, 0.17004744511279438)	(68, 0.17458543815423153)	(70, 0.18001952300702062)	(72, 0.1884079779729989)	(74, 0.19474246968599074)	(76, 0.19914813456266967)						
SRR7543040_1 - polya	(1, 0.022234657626147097)	(2, 0.028136089723361474)	(3, 0.03088743306598169)	(4, 0.035859481626056795)	(5, 0.038460528621086836)	(6, 0.04057694657694854)	(7, 0.04359820989075112)	(8, 0.0494751038087671)	(9, 0.05839779921978405)	(10, 0.06731436008600142)	(12, 0.07252258862086108)	(14, 0.07825532073608649)	(16, 0.08348655381394465)	(18, 0.08814113968064051)	(20, 0.09303957370312042)	(22, 0.09873089764094853)	(24, 0.10417683978679268)	(26, 0.11110580813793991)	(28, 0.1182617546466723)	(30, 0.1246355466934558)	(32, 0.1304495615272759)	(34, 0.13721903171363356)	(36, 0.14356215103641906)	(38, 0.15005249943439497)	(40, 0.1584522249012461)	(42, 0.1662722358845351)	(44, 0.1747900513387785)	(46, 0.18335847678761863)	(48, 0.19075980508833498)	(50, 0.19753080891089253)	(52, 0.20447971453263847)	(54, 0.21243468550151867)	(56, 0.21962743927904865)	(58, 0.2259644240570346)	(60, 0.23180911161485268)	(62, 0.23797279550224992)	(64, 0.24410580666564916)	(66, 0.25004097875926135)	(68, 0.25571236542649073)	(70, 0.2619051884016861)	(72, 0.26868232676904324)	(74, 0.2748138042962426)	(76, 0.28173970537499005)	(78, 0.28920391275990226)	(80, 0.29499492305072383)	(82, 0.3000375188759944)	(84, 0.3060033636936045)	(86, 0.3124937120915804)	(88, 0.31793812060122467)
SRR7543040_2 - polya	(1, 0.01448672754425338)	(2, 0.017158321804478807)	(3, 0.018247203506407655)	(4, 0.020090634218687196)	(5, 0.021424897712600012)	(6, 0.02244016487693367)	(7, 0.02373762110204889)	(8, 0.02752263524340156)	(9, 0.03235665654548569)	(10, 0.03748053508935087)	(12, 0.040599951119947034)	(14, 0.0451640524508488)	(16, 0.05194732536300556)	(18, 0.05689636938008216)	(20, 0.06162456978437321)	(22, 0.06626228565287015)	(24, 0.07033715703600388)	(26, 0.07511750107109152)	(28, 0.07995152237317565)	(30, 0.08451869097647721)	(32, 0.08922848774636946)	(34, 0.09502869985439044)	(36, 0.10083811377961083)	(38, 0.10653097135363884)	(40, 0.11521748678987123)	(42, 0.12280591870697538)	(44, 0.1311933750842273)	(46, 0.1406421077118099)	(48, 0.15000035580359838)	(50, 0.1600011974631449)	(52, 0.16973518642390883)	(54, 0.18271434958366073)	(56, 0.1921646158474432)	(58, 0.20036803588070715)	(60, 0.20825245958439195)	(62, 0.21563538425070952)	(64, 0.22472371237131566)	(66, 0.2352919994248251)	(68, 0.24402299031085456)	(70, 0.2552384718407217)	(72, 0.26563499163984233)	(74, 0.2737939362233092)	(76, 0.28255253256093693)	(78, 0.2910182043843837)	(80, 0.29731224734877243)	(82, 0.3035219403221667)	(84, 0.3127482957007638)	(86, 0.32293777461289797)	(88, 0.3303544392756133)
SRR7543040_clean_1 - polya	(1, 0.026578524552161854)	(2, 0.02889540251476807)	(3, 0.03136840432930192)	(4, 0.03360722036594432)	(5, 0.03573674970623736)	(6, 0.03751343914117393)	(7, 0.039742887746700664)	(8, 0.04217841983677189)	(9, 0.044576482202380474)	(10, 0.04818450442042829)	(12, 0.0531835901591514)	(14, 0.058657292407734554)	(16, 0.0637000928249974)	(18, 0.06834946113540259)	(20, 0.07256012142189111)	(22, 0.07698154890848194)	(24, 0.08066294933693575)	(26, 0.08478149655078696)	(28, 0.08899215683727549)	(30, 0.09343388042461691)	(32, 0.09843764987889785)	(34, 0.10316039639970903)	(36, 0.10783318328790337)	(38, 0.11245601054348087)	(40, 0.11837466577005779)	(42, 0.12503803177032957)	(44, 0.13121897506814495)	(46, 0.13669267731672807)	(48, 0.14230532979352684)	(50, 0.1480210240125978)	(52, 0.1539146994228663)	(54, 0.1592213491498869)	(56, 0.164751255985164)	(58, 0.17101806740153955)	(60, 0.1770491318015044)	(62, 0.18293500101917648)	(64, 0.19006205485967337)	(66, 0.19629295779010558)	(68, 0.20134980935404195)	(70, 0.20611627055339288)	(72, 0.21239557187792263)	(74, 0.21775842619163716)	(76, 0.22154599083940177)						
SRR7543040_clean_2 - polya	(1, 0.017207970959464754)	(2, 0.020036935156393633)	(3, 0.023555966778842696)	(4, 0.025835375016986274)	(5, 0.028323989216712895)	(6, 0.03001324929456999)	(7, 0.03217400340524856)	(8, 0.03433163503888858)	(9, 0.03623322355536726)	(10, 0.03912307605454793)	(12, 0.042579658136225926)	(14, 0.0465545714063037)	(16, 0.05005642940504072)	(18, 0.0531976413058249)	(20, 0.056571477745981244)	(22, 0.06019823482626038)	(24, 0.0631239958113844)	(26, 0.06660399647085155)	(28, 0.0706803902446823)	(30, 0.07424625902270965)	(32, 0.07916416035843038)	(34, 0.08418666467494265)	(36, 0.09036448549571946)	(38, 0.09635027397862528)	(40, 0.10518063904365273)	(42, 0.11384863530267544)	(44, 0.12064470657708572)	(46, 0.1274189205122261)	(48, 0.1336264048648692)	(50, 0.1400805649035579)	(52, 0.14917790175538165)	(54, 0.15693257348062767)	(56, 0.166022104139855)	(58, 0.1756565070423098)	(60, 0.18393107119447488)	(62, 0.19111745209870423)	(64, 0.19923901487598022)	(66, 0.20565258271316775)	(68, 0.2111059888610003)	(70, 0.21739778009368432)	(72, 0.22710868368358367)	(74, 0.23442464738491298)	(76, 0.23951584619627342)						
SRR7543041_1 - polya	(1, 0.019121210112816058)	(2, 0.028150925434134697)	(3, 0.03119244933430099)	(4, 0.03729385643382975)	(5, 0.039864158321294224)	(6, 0.04195711842965815)	(7, 0.04474467202427736)	(8, 0.05102355234936914)	(9, 0.06043575307060809)	(10, 0.0695496151799092)	(12, 0.0748646322972018)	(14, 0.08143114164303367)	(16, 0.08823785182001546)	(18, 0.09416331563558089)	(20, 0.1008384508349901)	(22, 0.1086411529933644)	(24, 0.1157997497382729)	(26, 0.12462292294363456)	(28, 0.1330498412746788)	(30, 0.1403369531139605)	(32, 0.14722322025412576)	(34, 0.15526612324364997)	(36, 0.16292042106685523)	(38, 0.17096332405637946)	(40, 0.18121699265744307)	(42, 0.19061695384588456)	(44, 0.20019132837668974)	(46, 0.21005027204503562)	(48, 0.21856745693046103)	(50, 0.22646348552641588)	(52, 0.23473128993109327)	(54, 0.2446805001538203)	(56, 0.25284579847131905)	(58, 0.26011761089460395)	(60, 0.26705130622435935)	(62, 0.2738411870437446)	(64, 0.2810273227374474)	(66, 0.28809106310317567)	(68, 0.29507830638891985)	(70, 0.30286723907289703)	(72, 0.3113492353015298)	(74, 0.31896069475994393)	(76, 0.32732947531020024)	(78, 0.33549324368609934)	(80, 0.34204292367433464)	(82, 0.3481718697226577)	(84, 0.3553580054163604)	(86, 0.3629832343491717)	(88, 0.3692085667182746)
SRR7543041_2 - polya	(1, 0.014610942276955781)	(2, 0.0175117115499514)	(3, 0.01842967650976014)	(4, 0.020482858136532354)	(5, 0.02159359573790093)	(6, 0.022554399062500747)	(7, 0.023928286619014492)	(8, 0.028046889405356375)	(9, 0.03332212804105727)	(10, 0.038603486443156886)	(12, 0.04194946872165975)	(14, 0.04768062995406565)	(16, 0.05609071892751338)	(18, 0.06167653570794957)	(20, 0.06748878384513857)	(22, 0.07300116342879007)	(24, 0.07762464694302675)	(26, 0.08337569741622851)	(28, 0.08913439759742867)	(30, 0.09431171997074997)	(32, 0.09970782399282568)	(34, 0.106219255441069)	(36, 0.11268937846612094)	(38, 0.11932167530073909)	(40, 0.12991040111213292)	(42, 0.13890951760145792)	(44, 0.14889391648097766)	(46, 0.16057502059454387)	(48, 0.17219951686892188)	(50, 0.18378423466170818)	(52, 0.19543473994328078)	(54, 0.21266341229729113)	(56, 0.22440877395804398)	(58, 0.23387911246007081)	(60, 0.24248809384147713)	(62, 0.25103587755889617)	(64, 0.26239263405332997)	(66, 0.275663347488965)	(68, 0.2864601453579154)	(70, 0.30098082108049007)	(72, 0.3138690491162047)	(74, 0.3234954416613991)	(76, 0.33372310125526816)	(78, 0.3432867661948755)	(80, 0.3503979347501939)	(82, 0.35801704391660644)	(84, 0.3701923191668697)	(86, 0.3837644310976419)	(88, 0.3926090234853991)
SRR7543041_clean_1 - polya	(1, 0.01864672302757274)	(2, 0.02160765700640421)	(3, 0.024883054005069516)	(4, 0.027638497297672936)	(5, 0.030449983504702186)	(6, 0.03273217551993191)	(7, 0.03580830882286093)	(8, 0.03897784698316633)	(9, 0.04227815194379867)	(10, 0.047111853313026704)	(12, 0.05344470264314574)	(14, 0.06042827247965362)	(16, 0.06629721101813661)	(18, 0.07145627264055907)	(20, 0.07656551833904743)	(22, 0.08173859069007633)	(24, 0.0861550836963565)	(26, 0.09127366988058251)	(28, 0.09651679587464371)	(30, 0.1016696305065744)	(32, 0.10731439738735404)	(34, 0.11275211683428271)	(36, 0.11810577190957264)	(38, 0.12357618305658305)	(40, 0.13096606402267819)	(42, 0.13916545375270206)	(44, 0.14609142392716115)	(46, 0.15261419646727886)	(48, 0.15911206104542952)	(50, 0.1656270498474325)	(52, 0.17245650166926935)	(54, 0.1788952098377483)	(56, 0.18588344991712497)	(58, 0.193819749298872)	(60, 0.2012625596841471)	(62, 0.2086290894358982)	(64, 0.21690164630420017)	(66, 0.22377157356423347)	(68, 0.22961249064550354)	(70, 0.23561997972242815)	(72, 0.24305811986483444)	(74, 0.2493862989520847)	(76, 0.25372806807246373)						
SRR7543041_clean_2 - polya	(1, 0.01641746043152297)	(2, 0.020138087250349053)	(3, 0.024528115547039247)	(4, 0.026937960867350032)	(5, 0.029677836683724056)	(6, 0.031770105488955126)	(7, 0.03451932179106679)	(8, 0.0370319124544916)	(9, 0.03942307680332711)	(10, 0.04258483122551781)	(12, 0.046573218635489536)	(14, 0.051380455295127594)	(16, 0.05542021537665633)	(18, 0.05902719961900782)	(20, 0.06295176037643901)	(22, 0.06690122909583725)	(24, 0.07019997730884665)	(26, 0.0744358875908658)	(28, 0.07928204294107735)	(30, 0.08363782279006288)	(32, 0.08944916166649708)	(34, 0.09582248643481256)	(36, 0.10325751308197298)	(38, 0.11009941888479333)	(40, 0.12137182842250031)	(42, 0.13277967500340304)	(44, 0.14085763841883758)	(46, 0.14841876162345613)	(48, 0.1554381366552916)	(50, 0.16331839312261281)	(52, 0.17527888510965917)	(54, 0.18472989992852662)	(56, 0.19634635069090328)	(58, 0.20887349881269973)	(60, 0.21889895350443195)	(62, 0.22738322804945377)	(64, 0.23678131344914125)	(66, 0.24414317295802349)	(68, 0.2504978167548637)	(70, 0.2585773369179212)	(72, 0.27186417787971223)	(74, 0.28116574492677743)	(76, 0.28720125546091496)						
SRR7543042_1 - polya	(1, 0.03685885487106542)	(2, 0.0412945264713097)	(3, 0.04490996873285761)	(4, 0.048467512452850484)	(5, 0.05228881619548297)	(6, 0.05570804673287215)	(7, 0.058898899689683114)	(8, 0.061655513584831304)	(9, 0.06456009041950903)	(10, 0.06851809905192424)	(12, 0.07360995412312563)	(14, 0.0783351184311451)	(16, 0.08272736612522309)	(18, 0.08685907038230342)	(20, 0.09127544246869602)	(22, 0.09559853357147219)	(24, 0.09931851486638335)	(26, 0.10303367128283161)	(28, 0.1069386062521547)	(30, 0.11067306218245465)	(32, 0.11459086349434552)	(34, 0.11833979406003423)	(36, 0.12225116220064122)	(38, 0.12614001424175458)	(40, 0.1301961287362492)	(42, 0.13440503104873625)	(44, 0.13857533433351993)	(46, 0.14258963321466922)	(48, 0.14686447553281617)	(50, 0.15107337784530322)	(52, 0.15546240895373925)	(54, 0.1595828551610728)	(56, 0.16377728283817106)	(58, 0.16798296856501616)	(60, 0.17224333624777438)	(62, 0.176357349283824)	(64, 0.18032500767316506)	(66, 0.18452426022872626)	(68, 0.18892937426537204)	(70, 0.19345350197076985)	(72, 0.19769135355403444)	(74, 0.20202731099937837)	(76, 0.20643081674320318)	(78, 0.21090830395679278)	(80, 0.21549837166785046)	(82, 0.22017046231277781)	(84, 0.2248409446648842)	(86, 0.22964491532113135)	(88, 0.23418834254038084)
SRR7543042_2 - polya	(1, 0.06278453514515454)	(2, 0.07117017391370917)	(3, 0.07661906999116662)	(4, 0.08256653684312577)	(5, 0.08809263097598992)	(6, 0.09323916800310439)	(7, 0.09896469044576924)	(8, 0.10343574448807492)	(9, 0.10841180247616623)	(10, 0.11552367333051003)	(12, 0.12476331558700147)	(14, 0.13352207829002188)	(16, 0.14097008234394912)	(18, 0.1486062566579302)	(20, 0.15557981432967033)	(22, 0.16235394369160971)	(24, 0.16902353402018588)	(26, 0.17591024387959342)	(28, 0.1830124649770114)	(30, 0.18969974652661825)	(32, 0.19662023053526623)	(34, 0.2033927516043847)	(36, 0.21007038339706569)	(38, 0.21691849422876988)	(40, 0.22410595484569942)	(42, 0.2312660744846724)	(44, 0.23828627264822075)	(46, 0.24531933715433685)	(48, 0.2523427519035272)	(50, 0.25965083448202964)	(52, 0.2674414049068242)	(54, 0.2747816533417462)	(56, 0.2820527451853664)	(58, 0.28928684629410417)	(60, 0.2965804542372179)	(62, 0.30367141728488906)	(64, 0.31096502522800284)	(66, 0.31830688195574586)	(68, 0.32611675189439204)	(70, 0.3336258710755162)	(72, 0.34124757075410855)	(74, 0.349163588018939)	(76, 0.3571841443171327)	(78, 0.3653783962399915)	(80, 0.3733876944884384)	(82, 0.3815529971405197)	(84, 0.38960893588077483)	(86, 0.397537819488173)	(88, 0.40565648164844614)
SRR7543042_clean_1 - polya	(1, 0.026732051182420384)	(2, 0.02854544206155912)	(3, 0.030293720162272764)	(4, 0.032146178708466554)	(5, 0.033689351557141166)	(6, 0.03565250182665761)	(7, 0.03736822353815871)	(8, 0.03923370464003752)	(9, 0.041053606797018756)	(10, 0.04361579462804602)	(12, 0.04687468918822174)	(14, 0.05046077545998352)	(16, 0.05403872263444218)	(18, 0.057667132212180276)	(20, 0.06139321095755601)	(22, 0.06505417692450666)	(24, 0.06886164664291375)	(26, 0.072786319362486)	(28, 0.07684610109729031)	(30, 0.0809889016245866)	(32, 0.0849689202058202)	(34, 0.0889684726205813)	(36, 0.09319754757929084)	(38, 0.09737778795418157)	(40, 0.1015824456209817)	(42, 0.10559176495250658)	(44, 0.10966782488191716)	(46, 0.113830159242741)	(48, 0.11794691465866726)	(50, 0.12188623775338515)	(52, 0.12581904957026055)	(54, 0.1300074290424544)	(56, 0.1343651017385535)	(58, 0.1386267330864756)	(60, 0.14270604865480746)	(62, 0.14683094316803685)	(64, 0.15109908579380144)	(66, 0.15530699909952284)	(68, 0.1597411793102714)	(70, 0.16403048358902417)	(72, 0.16841257357703265)	(74, 0.17265792673034847)	(76, 0.17585984760940224)						
SRR7543042_clean_2 - polya	(1, 0.04127173460474281)	(2, 0.04431250135719447)	(3, 0.04707979444026077)	(4, 0.05021823036035007)	(5, 0.0531613279451641)	(6, 0.05608489169645061)	(7, 0.058914041919020735)	(8, 0.0615901771122919)	(9, 0.06441281605701953)	(10, 0.0687330489055242)	(12, 0.07440111626742821)	(14, 0.08020429264456429)	(16, 0.08594072842381464)	(18, 0.09164297999439183)	(20, 0.09753080298348053)	(22, 0.10343815980609675)	(24, 0.10932109933680356)	(26, 0.1154384448698407)	(28, 0.12154765130557468)	(30, 0.12765360210238744)	(32, 0.13382303785816463)	(34, 0.13990945482144984)	(36, 0.14610819132751834)	(38, 0.15293526614538894)	(40, 0.1596695552540038)	(42, 0.16613037069323328)	(44, 0.17256676884055336)	(46, 0.17902758427978283)	(48, 0.1854818884411698)	(50, 0.1918775911019742)	(52, 0.19833677872174305)	(54, 0.20518013173421992)	(56, 0.21185907498117346)	(58, 0.21839802575451306)	(60, 0.22524789004483242)	(62, 0.23217914530818318)	(64, 0.23921946447539594)	(66, 0.2461328137246798)	(68, 0.25311778703023124)	(70, 0.26002136936275133)	(72, 0.26674263591568115)	(74, 0.27344111299616225)	(76, 0.278389684156469)						
SRR7543043_1 - polya	(1, 0.05199725659149792)	(2, 0.0571720148117792)	(3, 0.06135491587153069)	(4, 0.06581827309391475)	(5, 0.06987120666366578)	(6, 0.07388309786815352)	(7, 0.07756665015053485)	(8, 0.08113049553423154)	(9, 0.08463619756713855)	(10, 0.08957325208860323)	(12, 0.09573815737086165)	(14, 0.10129939786403902)	(16, 0.10642114302918854)	(18, 0.11146935395657465)	(20, 0.11652098508106602)	(22, 0.12142725782858321)	(24, 0.12605820470912577)	(26, 0.1305027508474308)	(28, 0.13509265536271003)	(30, 0.13934396036456703)	(32, 0.1436807702940559)	(34, 0.14823647283828237)	(36, 0.15316839706408913)	(38, 0.15800284567239553)	(40, 0.16251921594991137)	(42, 0.16735024436111248)	(44, 0.17212141932297131)	(46, 0.17676091669627703)	(48, 0.18167060964089948)	(50, 0.18664699642907479)	(52, 0.19178755267830333)	(54, 0.19672631729832063)	(56, 0.2014000166426791)	(58, 0.20625327633506454)	(60, 0.21134594982481922)	(62, 0.21630865582457343)	(64, 0.22124913054314338)	(66, 0.2263435141314507)	(68, 0.231437897719758)	(70, 0.23658187416609183)	(72, 0.24172414051387298)	(74, 0.2467501201600748)	(76, 0.2518103017773293)	(78, 0.2570893760093216)	(80, 0.26251551871684053)	(82, 0.26804597743607045)	(84, 0.27363970980174795)	(86, 0.27903507073531947)	(88, 0.2847450898025763)
SRR7543043_2 - polya	(1, 0.0713829337841974)	(2, 0.07932463146264626)	(3, 0.0863223547400392)	(4, 0.09258815583690325)	(5, 0.09897366383245193)	(6, 0.10534891123668479)	(7, 0.11176178080907567)	(8, 0.11727855873988446)	(9, 0.12326732387122123)	(10, 0.13138345160203913)	(12, 0.14174835892957544)	(14, 0.1516019467898731)	(16, 0.16012165777911347)	(18, 0.16853534265809034)	(20, 0.17676091669627703)	(22, 0.18498649073446372)	(24, 0.19287688545633347)	(26, 0.20049537450833382)	(28, 0.20857216997244107)	(30, 0.21625564276944167)	(32, 0.22416484857539043)	(34, 0.2316379792504166)	(36, 0.23919490475452201)	(38, 0.24679971301810127)	(40, 0.25460631291089175)	(42, 0.26239239162105066)	(44, 0.2703563205806838)	(46, 0.27801927219505274)	(48, 0.28576601863850093)	(50, 0.2940343451405036)	(52, 0.30219322533513737)	(54, 0.31063598188950914)	(56, 0.3187982822812482)	(58, 0.32718460558338286)	(60, 0.3353092838069639)	(62, 0.34355366892922967)	(64, 0.35194854272412746)	(66, 0.36017753695941945)	(68, 0.3687280297226073)	(70, 0.37732982544237426)	(72, 0.38595898273898344)	(74, 0.3946291824008559)	(76, 0.4038551640923356)	(78, 0.4128571228734198)	(80, 0.4214281368192393)	(82, 0.43033946037703363)	(84, 0.4393824615233811)	(86, 0.44837757991025473)	(88, 0.4573077145521281)
SRR7543043_clean_1 - polya	(1, 0.03934884053455872)	(2, 0.04166734578107656)	(3, 0.043619042734861724)	(4, 0.04588218069191048)	(5, 0.04788578447957292)	(6, 0.050003583301765325)	(7, 0.052131763490733195)	(8, 0.054166511378721985)	(9, 0.056166654710792595)	(10, 0.05939352955016257)	(12, 0.06336786279736517)	(14, 0.06772976707085133)	(16, 0.07170583054584984)	(18, 0.07584799588925559)	(20, 0.08009570512821179)	(22, 0.08466523673720702)	(24, 0.08960157663893492)	(26, 0.09414169437539971)	(28, 0.09874756076810903)	(30, 0.10344685946179741)	(32, 0.10814096747209809)	(34, 0.11277970819292968)	(36, 0.11770739695567803)	(38, 0.12268699255230366)	(40, 0.12777732272786746)	(42, 0.13231744046433225)	(44, 0.13705999485291837)	(46, 0.1418856001757081)	(48, 0.14684616326657873)	(50, 0.15180845658524525)	(52, 0.15662368054125955)	(54, 0.16159635522670154)	(56, 0.16658806241789853)	(58, 0.17150536981387143)	(60, 0.17653514201657844)	(62, 0.18120156638214455)	(64, 0.1861621294730152)	(66, 0.19116940871437535)	(68, 0.1963116457238164)	(70, 0.2015611568566038)	(72, 0.20649057584714808)	(74, 0.21165184536234413)	(76, 0.2153683746679563)						
SRR7543043_clean_2 - polya	(1, 0.04785810083483837)	(2, 0.05150196057302238)	(3, 0.05476517019610644)	(4, 0.05804222164155778)	(5, 0.06131581263141729)	(6, 0.06489392371335675)	(7, 0.06810868695815538)	(8, 0.07129576655821945)	(9, 0.07461088301518078)	(10, 0.07971851546870365)	(12, 0.08619994879217815)	(14, 0.09274367031630537)	(16, 0.09943446120308483)	(18, 0.1062619400857411)	(20, 0.11291639618880647)	(22, 0.11946011771293369)	(24, 0.12613706677734587)	(26, 0.13301472226608352)	(28, 0.1398127872762093)	(30, 0.14669044276494692)	(32, 0.15378610695596906)	(34, 0.16066895312809443)	(36, 0.16792725873193198)	(38, 0.17537934984891132)	(40, 0.18280548754895204)	(42, 0.1903977271174)	(44, 0.19788788324588935)	(46, 0.20521193750597144)	(48, 0.21276092137952168)	(50, 0.22023031477446015)	(52, 0.22753360630099134)	(54, 0.23515006905858202)	(56, 0.24291360117882493)	(58, 0.2505404453031911)	(60, 0.2581569080607818)	(62, 0.2659308215478002)	(64, 0.27399541330453125)	(66, 0.28158592264518334)	(68, 0.28902244171199953)	(70, 0.29673233677056926)	(72, 0.3044560736515063)	(74, 0.3121452059765252)	(76, 0.3178255438304939)						
SRR7543044_1 - polya	(1, 0.07005288636059272)	(2, 0.07765726883801921)	(3, 0.08342760229927458)	(4, 0.0895310059828063)	(5, 0.09558682820601284)	(6, 0.10093757969894604)	(7, 0.10625805208076321)	(8, 0.11108973309742157)	(9, 0.1159343908759868)	(10, 0.1230370052263476)	(12, 0.1313464584340474)	(14, 0.138922724594009)	(16, 0.14525105881725986)	(18, 0.1510538341832824)	(20, 0.1570404470096523)	(22, 0.16268533843914124)	(24, 0.16764029869391486)	(26, 0.17299105018684807)	(28, 0.17853212752108205)	(30, 0.18323404091867168)	(32, 0.18833607114172318)	(34, 0.19332563609491515)	(36, 0.19833250339731626)	(38, 0.20325502174732274)	(40, 0.20856468016088417)	(42, 0.21399112943160745)	(44, 0.21918615978165817)	(46, 0.22398107330624709)	(48, 0.2288776381324398)	(50, 0.23390613337135235)	(52, 0.23961590861037568)	(54, 0.24467900854770655)	(56, 0.24962315483422445)	(58, 0.25450025451755687)	(60, 0.25928435407389006)	(62, 0.26431933769375604)	(64, 0.2693975771866449)	(66, 0.2743784909652323)	(68, 0.27953675382321364)	(70, 0.2844938768716384)	(72, 0.28931258112638986)	(74, 0.293932308365236)	(76, 0.29888510582635847)	(78, 0.3040195779541771)	(80, 0.30892911954227675)	(82, 0.31383433554307405)	(84, 0.3187676678613362)	(86, 0.3239540470367823)	(88, 0.3288657514185331)
SRR7543044_2 - polya	(1, 0.10999968509724439)	(2, 0.12475426338535689)	(3, 0.13394613640272393)	(4, 0.1430558232613475)	(5, 0.15252885945336342)	(6, 0.1603192421847884)	(7, 0.1683734857416531)	(8, 0.17563182123489635)	(9, 0.18281662174400068)	(10, 0.19368682263465642)	(12, 0.20686688714473517)	(14, 0.21864329857522075)	(16, 0.22899226619595048)	(18, 0.2393390710230291)	(20, 0.2495582710246901)	(22, 0.25950063343900454)	(24, 0.26876604144051053)	(26, 0.2781850077912479)	(28, 0.28760397414198513)	(30, 0.29642817223865753)	(32, 0.3055335335099788)	(34, 0.31470161579718325)	(36, 0.32391511675106177)	(38, 0.3328604312921983)	(40, 0.34215828119847147)	(42, 0.3514604566920469)	(44, 0.36069125999513457)	(46, 0.3700496681236398)	(48, 0.37930209936323894)	(50, 0.3887902751108129)	(52, 0.3987499398743365)	(54, 0.40884802343153337)	(56, 0.4188660836236379)	(58, 0.42912853949832186)	(60, 0.4397089260397241)	(62, 0.4497334746127821)	(64, 0.4594098134080057)	(66, 0.46963117620331785)	(68, 0.47968600388749183)	(70, 0.49021232058761544)	(72, 0.5003017529702078)	(74, 0.510717767194123)	(76, 0.5209845486561093)	(78, 0.5314827490387679)	(80, 0.5421301821833557)	(82, 0.5528835922168497)	(84, 0.5637127000281337)	(86, 0.5738086207916794)	(88, 0.5838872392060159)
