Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR7543034_clean_1	(1.0, 38.04612010058178)	(2.0, 9.888227287200838)	(3.0, 4.791266991263799)	(4.0, 2.9788842067669026)	(5.0, 2.04226562033565)	(6.0, 1.5809717437761346)	(7.0, 1.243720009926211)	(8.0, 1.0298131089230882)	(9.0, 0.8447677617208516)	('>10', 9.40044965278952)	('>50', 3.2494310402164035)	('>100', 6.242660638985114)	('>500', 2.4322633418147515)	('>1k', 6.763932978612093)	('>5k', 3.545058673181318)	('>10k+', 5.920166843905294)
SRR7543034_clean_2	(1.0, 41.17385135846517)	(2.0, 9.840611426268174)	(3.0, 4.7321667054286305)	(4.0, 2.8581225064090847)	(5.0, 1.84463441462225)	(6.0, 1.3933106414789984)	(7.0, 1.0391528613720342)	(8.0, 0.8604258730980434)	(9.0, 0.7487506018120103)	('>10', 8.797280744094387)	('>50', 3.0477647463227076)	('>100', 5.577879946971817)	('>500', 2.3849269355130285)	('>1k', 8.19026025639654)	('>5k', 3.7614752631338413)	('>10k+', 3.749385718613275)
SRR7543035_1	(1.0, 29.454775693747294)	(2.0, 8.391863785342016)	(3.0, 4.4102538148152215)	(4.0, 2.9287729702740495)	(5.0, 2.1345216051269342)	(6.0, 1.6042061719635488)	(7.0, 1.3122482192279314)	(8.0, 1.12636506780964)	(9.0, 0.9134147894240756)	('>10', 10.795762973594892)	('>50', 3.385129646186286)	('>100', 6.898573176428954)	('>500', 3.0827825023072535)	('>1k', 8.743814949816441)	('>5k', 4.696050515023231)	('>10k+', 10.121464118912154)
SRR7543035_2	(1.0, 30.630321495037894)	(2.0, 8.80400052418148)	(3.0, 4.575122403692121)	(4.0, 2.9480112454715846)	(5.0, 2.1178725992139578)	(6.0, 1.578555118337786)	(7.0, 1.243383911032585)	(8.0, 1.0419727253090019)	(9.0, 0.8755726040669163)	('>10', 9.945066579890087)	('>50', 3.089389350177708)	('>100', 6.574869846048789)	('>500', 2.785000257937864)	('>1k', 9.473390531319808)	('>5k', 5.993201858921228)	('>10k+', 8.324268949361215)
SRR7543035_clean_1	(1.0, 28.59676536939987)	(2.0, 8.44153122398118)	(3.0, 4.49676100929242)	(4.0, 2.972296584850125)	(5.0, 2.140748946929325)	(6.0, 1.638250914602607)	(7.0, 1.3307884615446777)	(8.0, 1.1047709696612624)	(9.0, 0.9559523056269698)	('>10', 10.884472733555302)	('>50', 3.3502256779965074)	('>100', 6.888584617567046)	('>500', 3.0857086118773887)	('>1k', 8.89960788358208)	('>5k', 4.828192189126824)	('>10k+', 10.385342500406558)
SRR7543035_clean_2	(1.0, 30.729575057436747)	(2.0, 8.89258314519684)	(3.0, 4.597662262351486)	(4.0, 2.9401188808392327)	(5.0, 2.097484900528372)	(6.0, 1.5771201050250272)	(7.0, 1.2390702792886616)	(8.0, 1.02202248611043)	(9.0, 0.8646419618789796)	('>10', 9.981009987537899)	('>50', 3.1234988851265677)	('>100', 6.633180552506623)	('>500', 2.764873487331692)	('>1k', 9.522160933630676)	('>5k', 6.026848984844837)	('>10k+', 7.98814809036601)
SRR7543036_1	(1.0, 41.02637617279681)	(2.0, 9.36078977604872)	(3.0, 4.576494955388679)	(4.0, 2.9031147437030955)	(5.0, 2.0255168391463947)	(6.0, 1.4881046999963305)	(7.0, 1.1794443334626241)	(8.0, 1.0201801200214322)	(9.0, 0.7924468324806122)	('>10', 9.196490544497692)	('>50', 2.8890485042346916)	('>100', 5.211570386144528)	('>500', 2.43534988265529)	('>1k', 6.748474849277124)	('>5k', 3.864719385978526)	('>10k+', 5.281877974167486)
SRR7543036_2	(1.0, 42.245566052375175)	(2.0, 9.762891708603975)	(3.0, 4.544087916720743)	(4.0, 2.8126086319670325)	(5.0, 1.8790845877461722)	(6.0, 1.4810021934717656)	(7.0, 1.1131516921640816)	(8.0, 0.9033285067311448)	(9.0, 0.8120977851528584)	('>10', 8.609951305600223)	('>50', 2.5300214701999773)	('>100', 4.588419874897918)	('>500', 2.2956514943366266)	('>1k', 7.9295298768717775)	('>5k', 4.525867498418239)	('>10k+', 3.9667394047420887)
SRR7543036_clean_1	(1.0, 39.617457471894284)	(2.0, 9.509324935395936)	(3.0, 4.749656714250283)	(4.0, 2.9639650019866166)	(5.0, 2.0866195281323594)	(6.0, 1.567915208708791)	(7.0, 1.2502688113663598)	(8.0, 1.0097551886817535)	(9.0, 0.8381438347051099)	('>10', 9.342602896860418)	('>50', 2.93184696717119)	('>100', 5.157927157924378)	('>500', 2.399887473458175)	('>1k', 6.965520614256322)	('>5k', 3.980154869248524)	('>10k+', 5.628953325959635)
SRR7543036_clean_2	(1.0, 42.434615582956205)	(2.0, 9.831880926949891)	(3.0, 4.567496401051636)	(4.0, 2.782676048057215)	(5.0, 1.8475886193578723)	(6.0, 1.4949321754450615)	(7.0, 1.1110971733967185)	(8.0, 0.9009259760072771)	(9.0, 0.7932307455634464)	('>10', 8.603988591980647)	('>50', 2.4826076024143493)	('>100', 4.585833895122556)	('>500', 2.329855250311066)	('>1k', 7.93876514503124)	('>5k', 4.4032656607543395)	('>10k+', 3.891240205600584)
