Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR7543034_1	(12.0, 1.0)	(13.0, 23.0)	(14.0, 340.0)	(15.0, 2542.0)	(16.0, 8239.0)	(17.0, 14344.0)	(18.0, 19935.0)	(19.0, 25201.0)	(20.0, 31267.0)	(21.0, 37823.0)	(22.0, 44799.0)	(23.0, 54199.0)	(24.0, 69833.0)	(25.0, 94645.0)	(26.0, 131831.0)	(27.0, 184627.0)	(28.0, 257260.0)	(29.0, 347730.0)	(30.0, 459783.0)	(31.0, 591691.0)	(32.0, 754940.0)	(33.0, 973158.0)	(34.0, 1342981.0)	(35.0, 2072036.0)	(36.0, 3177060.0)	(37.0, 5398733.0)	(38.0, 7246862.0)	(39.0, 3010522.0)	(40.0, 14795.0)		
SRR7543034_2	(12.0, 48.0)	(13.0, 1687.0)	(14.0, 10679.0)	(15.0, 29425.0)	(16.0, 47577.0)	(17.0, 57157.0)	(18.0, 63757.0)	(19.0, 70340.0)	(20.0, 78106.0)	(21.0, 86787.0)	(22.0, 98443.0)	(23.0, 116903.0)	(24.0, 144826.0)	(25.0, 176264.0)	(26.0, 218682.0)	(27.0, 271031.0)	(28.0, 333771.0)	(29.0, 408290.0)	(30.0, 503236.0)	(31.0, 624632.0)	(32.0, 790625.0)	(33.0, 1019769.0)	(34.0, 1392013.0)	(35.0, 2061186.0)	(36.0, 3120561.0)	(37.0, 5266829.0)	(38.0, 6923492.0)	(39.0, 2443016.0)	(40.0, 8068.0)		
SRR7543034_clean_1	(14.0, 3.0)	(15.0, 28.0)	(16.0, 280.0)	(17.0, 1010.0)	(18.0, 4084.0)	(19.0, 11893.0)	(20.0, 20584.0)	(21.0, 28355.0)	(22.0, 37554.0)	(23.0, 49315.0)	(24.0, 67029.0)	(25.0, 92107.0)	(26.0, 128346.0)	(27.0, 177980.0)	(28.0, 243552.0)	(29.0, 327880.0)	(30.0, 430442.0)	(31.0, 552526.0)	(32.0, 706596.0)	(33.0, 913848.0)	(34.0, 1287475.0)	(35.0, 1946742.0)	(36.0, 2850009.0)	(37.0, 4585727.0)	(38.0, 6376247.0)	(39.0, 4633335.0)	(40.0, 457228.0)	(41.0, 10.0)			
SRR7543034_clean_2	(14.0, 19.0)	(15.0, 259.0)	(16.0, 2218.0)	(17.0, 10238.0)	(18.0, 27095.0)	(19.0, 46372.0)	(20.0, 60964.0)	(21.0, 73520.0)	(22.0, 90927.0)	(23.0, 112363.0)	(24.0, 141617.0)	(25.0, 176678.0)	(26.0, 218138.0)	(27.0, 268257.0)	(28.0, 328261.0)	(29.0, 400081.0)	(30.0, 488572.0)	(31.0, 604444.0)	(32.0, 758357.0)	(33.0, 975318.0)	(34.0, 1337256.0)	(35.0, 1921182.0)	(36.0, 2811054.0)	(37.0, 4458298.0)	(38.0, 6327270.0)	(39.0, 3942777.0)	(40.0, 348648.0)	(41.0, 2.0)			
SRR7543035_1	(12.0, 2.0)	(13.0, 25.0)	(14.0, 321.0)	(15.0, 2333.0)	(16.0, 7623.0)	(17.0, 13535.0)	(18.0, 18745.0)	(19.0, 23941.0)	(20.0, 29227.0)	(21.0, 34185.0)	(22.0, 40219.0)	(23.0, 48804.0)	(24.0, 62077.0)	(25.0, 84033.0)	(26.0, 117821.0)	(27.0, 167426.0)	(28.0, 234388.0)	(29.0, 319893.0)	(30.0, 424139.0)	(31.0, 548170.0)	(32.0, 703889.0)	(33.0, 916806.0)	(34.0, 1263659.0)	(35.0, 1999642.0)	(36.0, 3138135.0)	(37.0, 5333055.0)	(38.0, 6396769.0)	(39.0, 2067443.0)	(40.0, 7999.0)		
SRR7543035_2	(12.0, 56.0)	(13.0, 1835.0)	(14.0, 11386.0)	(15.0, 32665.0)	(16.0, 51567.0)	(17.0, 61179.0)	(18.0, 66976.0)	(19.0, 74231.0)	(20.0, 81768.0)	(21.0, 91269.0)	(22.0, 102811.0)	(23.0, 121287.0)	(24.0, 150012.0)	(25.0, 181728.0)	(26.0, 224397.0)	(27.0, 274661.0)	(28.0, 336119.0)	(29.0, 406191.0)	(30.0, 497973.0)	(31.0, 609477.0)	(32.0, 760094.0)	(33.0, 971532.0)	(34.0, 1313260.0)	(35.0, 1938271.0)	(36.0, 2972743.0)	(37.0, 5060912.0)	(38.0, 5976593.0)	(39.0, 1629085.0)	(40.0, 4226.0)		
SRR7543035_clean_1	(14.0, 1.0)	(15.0, 26.0)	(16.0, 245.0)	(17.0, 999.0)	(18.0, 3704.0)	(19.0, 10626.0)	(20.0, 18093.0)	(21.0, 25449.0)	(22.0, 33439.0)	(23.0, 44030.0)	(24.0, 58852.0)	(25.0, 81954.0)	(26.0, 114994.0)	(27.0, 160831.0)	(28.0, 220805.0)	(29.0, 298791.0)	(30.0, 393336.0)	(31.0, 508620.0)	(32.0, 657153.0)	(33.0, 859700.0)	(34.0, 1211572.0)	(35.0, 1886734.0)	(36.0, 2812592.0)	(37.0, 4571812.0)	(38.0, 5810141.0)	(39.0, 3477131.0)	(40.0, 284745.0)	(41.0, 7.0)			
SRR7543035_clean_2	(14.0, 15.0)	(15.0, 288.0)	(16.0, 2373.0)	(17.0, 10623.0)	(18.0, 28915.0)	(19.0, 49386.0)	(20.0, 63926.0)	(21.0, 77711.0)	(22.0, 94328.0)	(23.0, 116983.0)	(24.0, 146220.0)	(25.0, 184265.0)	(26.0, 223780.0)	(27.0, 272683.0)	(28.0, 330692.0)	(29.0, 400242.0)	(30.0, 481530.0)	(31.0, 589009.0)	(32.0, 730496.0)	(33.0, 928146.0)	(34.0, 1267116.0)	(35.0, 1808054.0)	(36.0, 2682787.0)	(37.0, 4297058.0)	(38.0, 5706616.0)	(39.0, 2849269.0)	(40.0, 203868.0)	(41.0, 3.0)			
SRR7543036_1	(12.0, 4.0)	(13.0, 25.0)	(14.0, 362.0)	(15.0, 2320.0)	(16.0, 7674.0)	(17.0, 13369.0)	(18.0, 18166.0)	(19.0, 23412.0)	(20.0, 29185.0)	(21.0, 34657.0)	(22.0, 40722.0)	(23.0, 48955.0)	(24.0, 63252.0)	(25.0, 84411.0)	(26.0, 117682.0)	(27.0, 163453.0)	(28.0, 227266.0)	(29.0, 306551.0)	(30.0, 404025.0)	(31.0, 520455.0)	(32.0, 662400.0)	(33.0, 855513.0)	(34.0, 1178844.0)	(35.0, 1844296.0)	(36.0, 2860505.0)	(37.0, 4860345.0)	(38.0, 6398555.0)	(39.0, 2480990.0)	(40.0, 12330.0)		
SRR7543036_2	(12.0, 59.0)	(13.0, 1525.0)	(14.0, 9340.0)	(15.0, 25984.0)	(16.0, 41807.0)	(17.0, 50613.0)	(18.0, 56367.0)	(19.0, 62816.0)	(20.0, 70367.0)	(21.0, 79313.0)	(22.0, 88812.0)	(23.0, 104814.0)	(24.0, 129307.0)	(25.0, 157544.0)	(26.0, 195823.0)	(27.0, 242257.0)	(28.0, 296700.0)	(29.0, 360949.0)	(30.0, 446711.0)	(31.0, 552130.0)	(32.0, 692466.0)	(33.0, 890182.0)	(34.0, 1206449.0)	(35.0, 1787741.0)	(36.0, 2730511.0)	(37.0, 4728723.0)	(38.0, 6153678.0)	(39.0, 2089067.0)	(40.0, 7669.0)		
