"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","positive regulation of keratinocyte differentiation","4","471","23","16488","2.67e-2","8.27e-1","6.09","1.00e+0","8.21e-1","3.78e-3","ENSG00000113648,ENSG00000027075,ENSG00000175832,ENSG00000283227"
"GOTERM_BP_DIRECT","regulation of cell population proliferation","11","471","173","16488","2.67e-2","8.27e-1","2.23","1.00e+0","8.21e-1","1.10e-2","ENSG00000161714,ENSG00000151012,ENSG00000049249,ENSG00000168610,ENSG00000115415,ENSG00000104549,ENSG00000174775,ENSG00000171124,ENSG00000057657,ENSG00000007171,ENSG00000118520"
"INTERPRO","NT_sf","4","494","24","17928","2.72e-2","1.00e+0","6.05","1.00e+0","9.96e-1","3.91e-3","ENSG00000089127,ENSG00000111335,ENSG00000111331,ENSG00000135114"
"INTERPRO","PLC-like_Pdiesterase_TIM-brl","4","494","24","17928","2.72e-2","1.00e+0","6.05","1.00e+0","9.96e-1","3.91e-3","ENSG00000161714,ENSG00000102886,ENSG00000187091,ENSG00000240891"
"KEGG_PATHWAY","Glycolysis / Gluconeogenesis","7","286","64","7870","2.77e-2","3.88e-1","3.01","1.00e+0","3.71e-1","8.21e-3","ENSG00000149925,ENSG00000132746,ENSG00000169299,ENSG00000111669,ENSG00000196344,ENSG00000159399,ENSG00000171314"
"GOTERM_BP_DIRECT","immune system process","9","471","126","16488","2.79e-2","8.51e-1","2.50","1.00e+0","8.45e-1","1.02e-2","ENSG00000185507,ENSG00000131203,ENSG00000174371,ENSG00000143106,ENSG00000173391,ENSG00000183918,ENSG00000121594,ENSG00000234883,ENSG00000213928"
"GOTERM_BP_DIRECT","post-translational protein modification","5","471","41","16488","2.88e-2","8.57e-1","4.27","1.00e+0","8.51e-1","5.98e-3","ENSG00000184182,ENSG00000121579,ENSG00000145386,ENSG00000178999,ENSG00000162302"
"GOTERM_BP_DIRECT","natural killer cell mediated cytotoxicity","5","471","41","16488","2.88e-2","8.57e-1","4.27","1.00e+0","8.51e-1","5.98e-3","ENSG00000203722,ENSG00000150637,ENSG00000183918,ENSG00000116824,ENSG00000026751"
"INTERPRO","Cyclins_cyclin-box","3","494","10","17928","2.93e-2","1.00e+0","10.89","1.00e+0","9.96e-1","2.16e-3","ENSG00000134057,ENSG00000105173,ENSG00000145386"
"INTERPRO","Peptidase_S8_subtilisin-rel","3","494","10","17928","2.93e-2","1.00e+0","10.89","1.00e+0","9.96e-1","2.16e-3","ENSG00000140479,ENSG00000169174,ENSG00000140564"
"INTERPRO","IL-1_fam","3","494","10","17928","2.93e-2","1.00e+0","10.89","1.00e+0","9.96e-1","2.16e-3","ENSG00000136695,ENSG00000136694,ENSG00000136688"
"UP_SEQ_FEATURE","DOMAIN:Peptidase S8","3","493","10","17715","2.99e-2","1.00e+0","10.78","1.00e+0","1.00e+0","2.22e-3","ENSG00000140479,ENSG00000169174,ENSG00000140564"
"GOTERM_CC_DIRECT","alpha-beta T cell receptor complex","3","485","10","17412","2.99e-2","8.44e-1","10.77","1.00e+0","8.31e-1","2.23e-3","ENSG00000211772,ENSG00000167286,ENSG00000160654"
"INTERPRO","Aldolase_TIM","5","494","43","17928","3.00e-2","1.00e+0","4.22","1.00e+0","9.96e-1","6.32e-3","ENSG00000106302,ENSG00000177156,ENSG00000149925,ENSG00000111669,ENSG00000134321"
"KEGG_PATHWAY","Tyrosine metabolism","5","286","33","7870","3.02e-2","4.04e-1","4.17","1.00e+0","3.87e-1","6.30e-3","ENSG00000104951,ENSG00000132746,ENSG00000196344,ENSG00000120053,ENSG00000125166"
"GOTERM_MF_DIRECT","electron transfer activity","6","480","62","16905","3.09e-2","1.00e+0","3.41","1.00e+0","9.98e-1","8.15e-3","ENSG00000131203,ENSG00000178741,ENSG00000005194,ENSG00000127948,ENSG00000139547,ENSG00000065833"
"GOTERM_MF_DIRECT","fucosyltransferase activity","3","480","10","16905","3.10e-2","1.00e+0","10.57","1.00e+0","9.98e-1","2.35e-3","ENSG00000174951,ENSG00000171124,ENSG00000176920"
"GOTERM_BP_DIRECT","positive regulation of interleukin-12 production","5","471","42","16488","3.11e-2","8.85e-1","4.17","1.00e+0","8.79e-1","6.63e-3","ENSG00000131203,ENSG00000110944,ENSG00000126353,ENSG00000172243,ENSG00000112115"
"GOTERM_BP_DIRECT","response to toxic substance","7","471","83","16488","3.11e-2","8.85e-1","2.95","1.00e+0","8.79e-1","9.54e-3","ENSG00000151012,ENSG00000105854,ENSG00000134057,ENSG00000148346,ENSG00000084207,ENSG00000170312,ENSG00000268104"
"GOTERM_BP_DIRECT","L-fucose catabolic process","3","471","10","16488","3.14e-2","8.85e-1","10.50","1.00e+0","8.79e-1","2.39e-3","ENSG00000174951,ENSG00000171124,ENSG00000176920"
"GOTERM_BP_DIRECT","negative regulation of inflammatory response to wounding","3","471","10","16488","3.14e-2","8.85e-1","10.50","1.00e+0","8.79e-1","2.39e-3","ENSG00000168610,ENSG00000112115,ENSG00000272398"
"GOTERM_BP_DIRECT","positive regulation of interleukin-8 production","6","471","62","16488","3.16e-2","8.85e-1","3.39","1.00e+0","8.79e-1","8.38e-3","ENSG00000172936,ENSG00000164047,ENSG00000168610,ENSG00000116824,ENSG00000172243,ENSG00000007171"
"UP_SEQ_FEATURE","ACT_SITE:Charge relay system","11","493","183","17715","3.20e-2","1.00e+0","2.16","1.00e+0","1.00e+0","1.36e-2","ENSG00000005001,ENSG00000129451,ENSG00000166562,ENSG00000172382,ENSG00000153802,ENSG00000167759,ENSG00000140479,ENSG00000169174,ENSG00000129437,ENSG00000140564,ENSG00000136379"
"GOTERM_MF_DIRECT","ubiquitin-like protein ligase binding","4","480","25","16905","3.27e-2","1.00e+0","5.63","1.00e+0","9.98e-1","5.06e-3","ENSG00000138496,ENSG00000275713,ENSG00000115415,ENSG00000134057"
"GOTERM_BP_DIRECT","positive regulation of interleukin-17 production","4","471","25","16488","3.32e-2","9.00e-1","5.60","1.00e+0","8.94e-1","5.16e-3","ENSG00000110944,ENSG00000172936,ENSG00000065675,ENSG00000103257"
"GOTERM_BP_DIRECT","positive regulation of mitotic nuclear division","4","471","25","16488","3.32e-2","9.00e-1","5.60","1.00e+0","8.94e-1","5.16e-3","ENSG00000087586,ENSG00000182585,ENSG00000163235,ENSG00000103056"
"GOTERM_BP_DIRECT","telomere organization","4","471","25","16488","3.32e-2","9.00e-1","5.60","1.00e+0","8.94e-1","5.16e-3","ENSG00000275379,ENSG00000197153,ENSG00000275714,ENSG00000277775"
"GOTERM_CC_DIRECT","spindle microtubule","5","485","44","17412","3.34e-2","8.61e-1","4.08","1.00e+0","8.48e-1","7.29e-3","ENSG00000121621,ENSG00000087586,ENSG00000170312,ENSG00000131462,ENSG00000178999"
"KEGG_PATHWAY","Steroid biosynthesis","4","286","20","7870","3.39e-2","4.36e-1","5.50","1.00e+0","4.17e-1","5.22e-3","ENSG00000147383,ENSG00000104549,ENSG00000147155,ENSG00000172893"
"GOTERM_CC_DIRECT","clathrin-coated endocytic vesicle membrane","6","485","65","17412","3.44e-2","8.61e-1","3.31","1.00e+0","8.48e-1","9.34e-3","ENSG00000167286,ENSG00000042753,ENSG00000182585,ENSG00000163235,ENSG00000160654,ENSG00000144566"
"UP_SEQ_FEATURE","ACT_SITE:Nucleophile","17","493","348","17715","3.44e-2","1.00e+0","1.76","1.00e+0","1.00e+0","1.86e-2","ENSG00000129235,ENSG00000173083,ENSG00000142507,ENSG00000177628,ENSG00000164181,ENSG00000159337,ENSG00000137563,ENSG00000115488,ENSG00000121316,ENSG00000169972,ENSG00000089723,ENSG00000116260,ENSG00000036672,ENSG00000062096,ENSG00000122643,ENSG00000166105,ENSG00000149328"
"INTERPRO","Peptidase_S8/S53_dom","3","494","11","17928","3.52e-2","1.00e+0","9.90","1.00e+0","9.96e-1","2.91e-3","ENSG00000140479,ENSG00000169174,ENSG00000140564"
