"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","negative regulation of ERK1 and ERK2 cascade","5","140","75","16488","3.70e-3","3.24e-1","7.85","9.85e-1","3.22e-1","4.40e-4","ENSG00000164056,ENSG00000128342,ENSG00000120129,ENSG00000136158,ENSG00000162772"
"GOTERM_BP_DIRECT","homophilic cell-cell adhesion","7","140","177","16488","3.89e-3","3.24e-1","4.66","9.88e-1","3.22e-1","7.91e-4","ENSG00000262576,ENSG00000107736,ENSG00000154162,ENSG00000253537,ENSG00000120708,ENSG00000008710,ENSG00000253485"
"GOTERM_BP_DIRECT","response to wounding","5","140","78","16488","4.26e-3","3.24e-1","7.55","9.92e-1","3.22e-1","5.28e-4","ENSG00000118523,ENSG00000152518,ENSG00000185650,ENSG00000117525,ENSG00000128016"
"SMART","TSP1","5","105","61","9557","4.29e-3","1.39e-1","7.46","3.41e-1","1.37e-1","5.31e-4","ENSG00000118523,ENSG00000142871,ENSG00000134917,ENSG00000156218,ENSG00000101230"
"GOTERM_BP_DIRECT","cell adhesion","13","140","596","16488","4.59e-3","3.24e-1","2.57","9.94e-1","3.22e-1","1.70e-3","ENSG00000262576,ENSG00000107736,ENSG00000154162,ENSG00000120708,ENSG00000105509,ENSG00000074590,ENSG00000142871,ENSG00000118523,ENSG00000143878,ENSG00000107282,ENSG00000253537,ENSG00000253485,ENSG00000182667"
"GOTERM_BP_DIRECT","regulation of DNA-templated transcription","22","140","1357","16488","4.78e-3","3.24e-1","1.91","9.95e-1","3.22e-1","2.40e-3","ENSG00000196263,ENSG00000120093,ENSG00000198353,ENSG00000198046,ENSG00000177606,ENSG00000170345,ENSG00000169083,ENSG00000188171,ENSG00000143995,ENSG00000245680,ENSG00000189298,ENSG00000197928,ENSG00000269067,ENSG00000142065,ENSG00000160321,ENSG00000123358,ENSG00000176293,ENSG00000162772,ENSG00000237440,ENSG00000125740,ENSG00000145687,ENSG00000182986"
"GOTERM_BP_DIRECT","skeletal muscle cell differentiation","4","140","41","16488","4.95e-3","3.24e-1","11.49","9.96e-1","3.22e-1","3.95e-4","ENSG00000120738,ENSG00000123358,ENSG00000170345,ENSG00000162772"
"GOTERM_BP_DIRECT","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","3","140","13","16488","5.18e-3","3.24e-1","27.18","9.97e-1","3.22e-1","1.61e-4","ENSG00000152518,ENSG00000185650,ENSG00000128016"
"UP_KW_CELLULAR_COMPONENT","Secreted","26","136","1754","16046","5.75e-3","1.50e-1","1.75","1.39e-1","1.50e-1","3.16e-3","ENSG00000155011,ENSG00000152580,ENSG00000120708,ENSG00000152785,ENSG00000008710,ENSG00000138798,ENSG00000164694,ENSG00000174808,ENSG00000120658,ENSG00000162591,ENSG00000124159,ENSG00000145431,ENSG00000090006,ENSG00000101230,ENSG00000158813,ENSG00000128342,ENSG00000012171,ENSG00000136244,ENSG00000117525,ENSG00000157368,ENSG00000156218,ENSG00000124749,ENSG00000118523,ENSG00000142871,ENSG00000134917,ENSG00000180875"
"UP_SEQ_FEATURE","DOMAIN:BZIP","4","149","45","17715","6.27e-3","2.85e-1","10.57","9.96e-1","2.81e-1","5.48e-4","ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000125740"
"GOTERM_BP_DIRECT","cellular response to tumor necrosis factor","5","140","91","16488","7.34e-3","3.97e-1","6.47","1.00e+0","3.95e-1","1.06e-3","ENSG00000152518,ENSG00000127528,ENSG00000185650,ENSG00000170345,ENSG00000128016"
"GOTERM_BP_DIRECT","cellular response to epidermal growth factor stimulus","4","140","48","16488","7.69e-3","3.97e-1","9.81","1.00e+0","3.95e-1","7.25e-4","ENSG00000152518,ENSG00000185650,ENSG00000170345,ENSG00000128016"
"GOTERM_BP_DIRECT","cellular response to hormone stimulus","4","140","48","16488","7.69e-3","3.97e-1","9.81","1.00e+0","3.95e-1","7.25e-4","ENSG00000120129,ENSG00000196557,ENSG00000170345,ENSG00000125740"
"GOTERM_BP_DIRECT","cartilage condensation","3","140","16","16488","7.84e-3","3.97e-1","22.08","1.00e+0","3.95e-1","3.09e-4","ENSG00000118523,ENSG00000008710,ENSG00000134532"
"GOTERM_MF_DIRECT","monoatomic cation channel activity","4","143","49","16905","8.06e-3","2.53e-1","9.65","9.21e-1","2.48e-1","7.74e-4","ENSG00000196557,ENSG00000008710,ENSG00000108684,ENSG00000154864"
"UP_KW_DOMAIN","Repeat","61","126","4728","12734","8.08e-3","6.46e-2","1.30","1.22e-1","6.46e-2","6.04e-3","ENSG00000179820,ENSG00000151693,ENSG00000107736,ENSG00000039560,ENSG00000196440,ENSG00000154162,ENSG00000152580,ENSG00000120708,ENSG00000138798,ENSG00000164694,ENSG00000061455,ENSG00000197928,ENSG00000269067,ENSG00000198939,ENSG00000142065,ENSG00000162591,ENSG00000124159,ENSG00000090006,ENSG00000107331,ENSG00000253485,ENSG00000108854,ENSG00000172164,ENSG00000105426,ENSG00000198455,ENSG00000114854,ENSG00000196557,ENSG00000156218,ENSG00000188171,ENSG00000119138,ENSG00000121413,ENSG00000167972,ENSG00000143867,ENSG00000107282,ENSG00000134917,ENSG00000067082,ENSG00000237440,ENSG00000262576,ENSG00000196263,ENSG00000198046,ENSG00000153814,ENSG00000180071,ENSG00000008710,ENSG00000189298,ENSG00000152518,ENSG00000169047,ENSG00000127528,ENSG00000185650,ENSG00000186862,ENSG00000176293,ENSG00000164236,ENSG00000182986,ENSG00000182667,ENSG00000128016,ENSG00000120738,ENSG00000124749,ENSG00000245680,ENSG00000118503,ENSG00000080224,ENSG00000253537,ENSG00000160321,ENSG00000179094"
"GOTERM_BP_DIRECT","angiogenesis","8","140","271","16488","8.14e-3","3.97e-1","3.48","1.00e+0","3.95e-1","2.22e-3","ENSG00000143995,ENSG00000118523,ENSG00000143878,ENSG00000120093,ENSG00000120708,ENSG00000177606,ENSG00000178878,ENSG00000138798"
"GOTERM_BP_DIRECT","positive regulation of cell migration","8","140","273","16488","8.46e-3","3.97e-1","3.45","1.00e+0","3.95e-1","2.32e-3","ENSG00000142871,ENSG00000179820,ENSG00000143878,ENSG00000012171,ENSG00000136158,ENSG00000145431,ENSG00000117525,ENSG00000138798"
"GOTERM_BP_DIRECT","definitive hemopoiesis","3","140","17","16488","8.83e-3","3.97e-1","20.78","1.00e+0","3.96e-1","3.73e-4","ENSG00000143995,ENSG00000152518,ENSG00000120093"
"KEGG_PATHWAY","IL-17 signaling pathway","5","71","93","7870","9.25e-3","1.00e+0","5.96","8.24e-1","1.00e+0","1.46e-3","ENSG00000118503,ENSG00000136244,ENSG00000177606,ENSG00000170345,ENSG00000125740"
"UP_SEQ_FEATURE","DOMAIN:C2H2-type","11","149","501","17715","9.47e-3","4.09e-1","2.61","1.00e+0","4.03e-1","3.44e-3","ENSG00000119138,ENSG00000121413,ENSG00000198939,ENSG00000198046,ENSG00000198455,ENSG00000153814,ENSG00000120738,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000188171"
"INTERPRO","bZIP_sf","4","149","53","17928","9.55e-3","4.05e-1","9.08","9.93e-1","4.01e-1","9.78e-4","ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000125740"
"GOTERM_BP_DIRECT","positive regulation of fibroblast proliferation","4","140","52","16488","9.59e-3","4.00e-1","9.06","1.00e+0","3.98e-1","9.83e-4","ENSG00000128342,ENSG00000174808,ENSG00000145431,ENSG00000177606"
"GOTERM_BP_DIRECT","positive regulation of MAPK cascade","7","140","214","16488","9.61e-3","4.00e-1","3.85","1.00e+0","3.98e-1","2.36e-3","ENSG00000128342,ENSG00000137936,ENSG00000169252,ENSG00000136244,ENSG00000157368,ENSG00000169083,ENSG00000138798"
"GOTERM_MF_DIRECT","DNA binding","25","143","1737","16905","9.94e-3","2.84e-1","1.70","9.57e-1","2.78e-1","5.60e-3","ENSG00000120093,ENSG00000198046,ENSG00000177606,ENSG00000169083,ENSG00000134532,ENSG00000143995,ENSG00000189298,ENSG00000198939,ENSG00000269067,ENSG00000127528,ENSG00000185650,ENSG00000176293,ENSG00000162772,ENSG00000125740,ENSG00000128016,ENSG00000198353,ENSG00000120738,ENSG00000170345,ENSG00000188171,ENSG00000119138,ENSG00000118503,ENSG00000121671,ENSG00000160321,ENSG00000123358,ENSG00000237440"
"INTERPRO","Zinc_finger","4","149","54","17928","1.01e-2","4.05e-1","8.91","9.95e-1","4.01e-1","1.05e-3","ENSG00000061455,ENSG00000269067,ENSG00000198046,ENSG00000160321"
"INTERPRO","bZIP","4","149","54","17928","1.01e-2","4.05e-1","8.91","9.95e-1","4.01e-1","1.05e-3","ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000125740"
"UP_SEQ_FEATURE","DOMAIN:bZIP","4","149","54","17715","1.04e-2","4.15e-1","8.81","1.00e+0","4.09e-1","1.10e-3","ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000125740"
"UP_KW_MOLECULAR_FUNCTION","Heparin-binding","5","105","87","10600","1.04e-2","1.53e-1","5.80","3.70e-1","1.53e-1","1.68e-3","ENSG00000118523,ENSG00000142871,ENSG00000105426,ENSG00000134917,ENSG00000180875"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 5","5","149","102","17715","1.06e-2","4.15e-1","5.83","1.00e+0","4.09e-1","1.70e-3","ENSG00000262576,ENSG00000107736,ENSG00000154162,ENSG00000253537,ENSG00000253485"
"GOTERM_BP_DIRECT","transforming growth factor beta receptor signaling pathway","5","140","104","16488","1.16e-2","4.55e-1","5.66","1.00e+0","4.53e-1","1.93e-3","ENSG00000090006,ENSG00000177606,ENSG00000170345,ENSG00000162772,ENSG00000102760"
"GOTERM_BP_DIRECT","regulation of multicellular organismal development","3","140","20","16488","1.21e-2","4.55e-1","17.67","1.00e+0","4.53e-1","6.14e-4","ENSG00000142871,ENSG00000128342,ENSG00000157368"
"GOTERM_BP_DIRECT","positive regulation of peptidyl-serine phosphorylation","3","140","20","16488","1.21e-2","4.55e-1","17.67","1.00e+0","4.53e-1","6.14e-4","ENSG00000128342,ENSG00000136158,ENSG00000136244"
"GOTERM_BP_DIRECT","transcription by RNA polymerase II","7","140","229","16488","1.31e-2","4.69e-1","3.60","1.00e+0","4.67e-1","3.43e-3","ENSG00000102804,ENSG00000169252,ENSG00000123358,ENSG00000170345,ENSG00000169083,ENSG00000125740,ENSG00000134532"
"UP_SEQ_FEATURE","DOMAIN:TSP type-1","3","149","21","17715","1.31e-2","4.22e-1","16.98","1.00e+0","4.16e-1","6.94e-4","ENSG00000118523,ENSG00000142871,ENSG00000101230"
