"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_MF_DIRECT","proton channel activity","3","360","11","17376","2.07e-2","9.47e-1","13.16","1.00e+0","9.44e-1","1.29e-3","ENSG00000151012,ENSG00000182938,ENSG00000183034"
"GOTERM_BP_DIRECT","proteolysis","20","355","546","16968","2.10e-2","7.66e-1","1.75","1.00e+0","7.59e-1","1.12e-2","ENSG00000173391,ENSG00000137648,ENSG00000129451,ENSG00000172382,ENSG00000262406,ENSG00000153802,ENSG00000143839,ENSG00000137757,ENSG00000196611,ENSG00000134028,ENSG00000165078,ENSG00000164024,ENSG00000157193,ENSG00000089723,ENSG00000005001,ENSG00000036672,ENSG00000167759,ENSG00000140479,ENSG00000129437,ENSG00000166855"
"GOTERM_BP_DIRECT","regulation of toll-like receptor signaling pathway","3","355","11","16968","2.11e-2","7.66e-1","13.04","1.00e+0","7.59e-1","1.32e-3","ENSG00000163220,ENSG00000143546,ENSG00000147324"
"GOTERM_BP_DIRECT","negative regulation of inflammatory response to wounding","3","355","11","16968","2.11e-2","7.66e-1","13.04","1.00e+0","7.59e-1","1.32e-3","ENSG00000168610,ENSG00000112115,ENSG00000272398"
"GOTERM_BP_DIRECT","protein localization to kinetochore","3","355","11","16968","2.11e-2","7.66e-1","13.04","1.00e+0","7.59e-1","1.32e-3","ENSG00000112742,ENSG00000170312,ENSG00000178999"
"GOTERM_BP_DIRECT","killing of cells of another organism","6","355","76","16968","2.13e-2","7.66e-1","3.77","1.00e+0","7.59e-1","5.14e-3","ENSG00000163221,ENSG00000187238,ENSG00000185962,ENSG00000205420,ENSG00000171711,ENSG00000244057"
"INTERPRO","Peptidase_S1_PA_chymotrypsin","7","373","107","18453","2.13e-2","9.76e-1","3.24","1.00e+0","9.72e-1","6.04e-3","ENSG00000137648,ENSG00000005001,ENSG00000129451,ENSG00000172382,ENSG00000153802,ENSG00000167759,ENSG00000129437"
"UP_SEQ_FEATURE","REPEAT:1","11","374","232","18235","2.14e-2","1.00e+0","2.31","1.00e+0","1.00e+0","8.58e-3","ENSG00000169469,ENSG00000197915,ENSG00000196805,ENSG00000163209,ENSG00000203785,ENSG00000169474,ENSG00000163216,ENSG00000241794,ENSG00000139433,ENSG00000049283,ENSG00000119686"
"UP_KW_MOLECULAR_FUNCTION","Protease","19","238","493","10932","2.15e-2","2.54e-1","1.77","7.92e-1","2.40e-1","1.15e-2","ENSG00000137648,ENSG00000129451,ENSG00000172382,ENSG00000262406,ENSG00000153802,ENSG00000143839,ENSG00000137757,ENSG00000196611,ENSG00000134028,ENSG00000121316,ENSG00000165078,ENSG00000164024,ENSG00000089723,ENSG00000005001,ENSG00000166562,ENSG00000036672,ENSG00000167759,ENSG00000140479,ENSG00000129437"
"KEGG_PATHWAY","Nucleotide metabolism","7","217","82","8128","2.16e-2","4.40e-1","3.20","9.97e-1","4.31e-1","6.12e-3","ENSG00000167325,ENSG00000134326,ENSG00000171848,ENSG00000025708,ENSG00000158125,ENSG00000122643,ENSG00000119125"
"UP_KW_MOLECULAR_FUNCTION","Glycosidase","6","238","74","10932","2.20e-2","2.54e-1","3.72","7.99e-1","2.40e-1","5.39e-3","ENSG00000106302,ENSG00000070610,ENSG00000177628,ENSG00000115488,ENSG00000166105,ENSG00000149328"
"UP_SEQ_FEATURE","REPEAT:2","11","374","235","18235","2.32e-2","1.00e+0","2.28","1.00e+0","1.00e+0","9.36e-3","ENSG00000169469,ENSG00000197915,ENSG00000196805,ENSG00000163209,ENSG00000203785,ENSG00000169474,ENSG00000163216,ENSG00000241794,ENSG00000139433,ENSG00000049283,ENSG00000119686"
"GOTERM_BP_DIRECT","mitotic spindle assembly checkpoint signaling","4","355","30","16968","2.41e-2","8.53e-1","6.37","1.00e+0","8.46e-1","3.36e-3","ENSG00000169679,ENSG00000117399,ENSG00000122952,ENSG00000112742"
