Geneid,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue
ENSG00000164176,EDIL3,815.3746904069444,-1.4100233056400049,0.28082188718259693,-5.021059148153843,5.13873310597078e-07,1.949055640348318e-05
ENSG00000186952,TMEM232,35.693842981894356,-1.614149601665727,0.28422199770884554,-5.679186040058895,1.353372170128383e-08,8.14574741414157e-07
ENSG00000061455,PRDM6,134.14943266914247,-2.6352982742543234,0.37583847559885597,-7.01178417152548,2.352979904322433e-12,3.599569049466588e-10
ENSG00000168916,ZNF608,454.41787099104897,-1.141782806462104,0.22751302220733993,-5.018538259412512,5.206612513148351e-07,1.9707296744354816e-05
ENSG00000120708,TGFBI,6673.819958811508,-1.013206912128395,0.18218952754241136,-5.561279650898341,2.678036601950527e-08,1.4875055043965747e-06
ENSG00000120738,EGR1,5505.386429406347,-2.9191658502898954,0.4280383636905655,-6.819869661029258,9.112314638121229e-12,1.2254894942806629e-09
ENSG00000081853,PCDHGA2,88.68053045952554,-1.282186357898828,0.25309694417757456,-5.0659890899324225,4.0628518601091754e-07,1.6126227680422527e-05
ENSG00000262576,PCDHGA4,72.96387551062487,-1.4611242124547883,0.24540172109534833,-5.954009637475539,2.6165138495014037e-09,1.9098470374640964e-07
ENSG00000253485,PCDHGA5,76.77878336966731,-1.9029573333619598,0.35141994401336846,-5.415052178397618,6.127083570249984e-08,3.081587305229153e-06
ENSG00000262209,PCDHGB3,78.60220417659774,-1.3236260159317648,0.2752767978715517,-4.80834573115526,1.5218440304249645e-06,4.87561113237806e-05
ENSG00000253537,PCDHGA7,71.16814475729487,-1.5851223991752452,0.30177076608992487,-5.252736770078297,1.498556344605077e-07,6.734332459262596e-06
ENSG00000253953,PCDHGB4,119.79591648101528,-1.299942139815016,0.2642374411070983,-4.919598579098166,8.672188314586195e-07,3.0352659101051684e-05
ENSG00000261934,PCDHGA9,158.36610907916383,-0.9968092392034307,0.2138236063465294,-4.661829702694144,3.1341048271369348e-06,8.961733545820293e-05
ENSG00000254122,PCDHGB7,276.5307241298894,-0.91112984594635,0.19370201321887678,-4.703770656822259,2.5540013238357973e-06,7.543858294821504e-05
ENSG00000186314,PRELID2,244.14385849345587,-0.9360366578878342,0.14014982382950772,-6.678828644312268,2.408595844407716e-11,2.9477198809143097e-09
ENSG00000169252,ADRB2,1000.2447385218437,-3.064047249439654,0.3961931483470986,-7.733720944500761,1.0444785132204086e-14,2.7788426531077755e-12
ENSG00000303982,ENSG00000303982,20.542724659338482,-2.889784643247896,0.5223237996441905,-5.532554031075037,3.156011781126725e-08,1.7150579619632634e-06
ENSG00000120129,DUSP1,16257.192348536566,-3.0143967101233238,0.33592001130933064,-8.973555038814071,2.8709521658068314e-19,1.4244190373999705e-16
ENSG00000198939,ZFP2,48.34840694375835,-1.450949506621142,0.24628163706561357,-5.891423834553222,3.828821275150836e-09,2.6827323113962393e-07
ENSG00000247925,ENSG00000247925,17.187406257050604,-2.6083203515032967,0.5476864272432905,-4.762433797441253,1.91271957058727e-06,5.96141757505192e-05
ENSG00000293489,CMAHP,446.4516045912459,-1.6175246449655103,0.28128995063921625,-5.75038191478143,8.904207707307674e-09,5.665822980481825e-07
ENSG00000291336,ENSG00000291336,49.204192454188835,-2.6972362602491304,0.46282627864385933,-5.827750896410594,5.617935139747348e-09,3.7639140265661295e-07
ENSG00000189298,ZKSCAN3,184.96558561515155,-1.2343859082781274,0.18034215915371393,-6.844688530239917,7.664244137603241e-12,1.0499728489257574e-09
ENSG00000204681,GABBR1,465.1511155707397,-1.2946230738171987,0.26452252009462907,-4.894188492359993,9.87121952303929e-07,3.387119857835398e-05
ENSG00000168477,TNXB,22210.859409271474,-2.093644865503545,0.4187297936489504,-4.999990201936263,5.733322784171676e-07,2.147948428784317e-05
ENSG00000294466,ENSG00000294466,118.18040550883428,-1.9916706838036997,0.3884620207897488,-5.127066681459889,2.942913065427694e-07,1.2181403968114745e-05
ENSG00000164627,KIF6,21.442308800540822,-2.3800754700552047,0.4823690537886971,-4.934137982860324,8.050551375544336e-07,2.850298879007814e-05
ENSG00000137225,CAPN11,30.600820150222912,-1.7411755482220461,0.3470214353101353,-5.017487022569503,5.235173662949577e-07,1.9794994957280506e-05
ENSG00000124749,COL21A1,602.2956541770411,-1.3973785963345167,0.233516049402816,-5.984079466521094,2.176170561581419e-09,1.6129003197229093e-07
ENSG00000216316,RPL13AP15,41.08885417476543,-2.125006828218542,0.4068938481016743,-5.222509109273992,1.7651487107209124e-07,7.733584118629867e-06
ENSG00000118523,CCN2,5448.700338623873,-3.0326254720203707,0.5557373685900588,-5.456939992562197,4.844099689431026e-08,2.5227109233682284e-06
ENSG00000118503,TNFAIP3,3123.455278841916,-2.1111801597143187,0.34774900413233306,-6.070988369850014,1.2712539580017783e-09,1.0146541101746801e-07
ENSG00000118495,PLAGL1,1656.6229327352594,-1.2188225461950661,0.25608096036738104,-4.7595203659284495,1.9405354506407452e-06,6.027644591393821e-05
ENSG00000152818,UTRN,11840.311084320863,-0.8190656062285756,0.13271158498310706,-6.1717717133197905,6.752895695474734e-10,5.634831033167156e-08
ENSG00000111962,UST,950.9416959896024,-1.7938362973616073,0.33001193841587856,-5.435670921398693,5.459062604972877e-08,2.7953902864934336e-06
ENSG00000131018,SYNE1,10177.790489398738,-1.2602493346694412,0.24853144820159045,-5.070784175559221,3.9617985715840385e-07,1.579342394741672e-05
ENSG00000307615,ENSG00000307615,88.70546588088308,-1.911205173650758,0.36844019114337917,-5.187287433870126,2.1337926195742526e-07,9.173559253825372e-06
ENSG00000164694,FNDC1,304.7807386261345,-2.1739904827201055,0.3163849536714823,-6.871345990041816,6.3598930005446265e-12,8.946493161494098e-10
ENSG00000073067,CYP2W1,87.10181244096943,-4.061078703917155,0.6891400714334587,-5.892965555565261,3.793254995287624e-09,2.673116260114878e-07
ENSG00000164849,GPR146,96.1940719542433,-1.426652190039529,0.2686725206215816,-5.310004114819514,1.0962275993009084e-07,5.106605813905522e-06
ENSG00000157927,RADIL,116.90810809404444,-1.7297044929957779,0.3294804645629438,-5.249793778487696,1.5226957844370262e-07,6.801189261022557e-06
ENSG00000105866,SP4,507.5771779549505,-0.5889852663823012,0.12061580324146816,-4.883151714399941,1.0440347870128776e-06,3.5525243007579055e-05
ENSG00000136244,IL6,514.3332720649097,-5.867818048688833,1.041191822799654,-5.635674349526579,1.743746223431762e-08,1.021078829239189e-06
