FDR,num_genes,analysis
0.0015800001,1728,"Todas las muestras
~ Instrument + condition"
0.0015900001,1728,"Todas las muestras
~ Instrument + condition"
0.0016000001000000001,1728,"Todas las muestras
~ Instrument + condition"
0.0016100001000000001,1729,"Todas las muestras
~ Instrument + condition"
0.0016200001000000002,1732,"Todas las muestras
~ Instrument + condition"
0.0016300001000000002,1735,"Todas las muestras
~ Instrument + condition"
0.0016400001000000002,1738,"Todas las muestras
~ Instrument + condition"
0.0016500001000000002,1739,"Todas las muestras
~ Instrument + condition"
0.0016600001000000003,1740,"Todas las muestras
~ Instrument + condition"
0.0016700001,1744,"Todas las muestras
~ Instrument + condition"
0.0016800001,1747,"Todas las muestras
~ Instrument + condition"
0.0016900001000000001,1750,"Todas las muestras
~ Instrument + condition"
0.0017000001000000002,1751,"Todas las muestras
~ Instrument + condition"
0.0017100001000000002,1755,"Todas las muestras
~ Instrument + condition"
0.0017200001000000002,1756,"Todas las muestras
~ Instrument + condition"
0.0017300001000000002,1762,"Todas las muestras
~ Instrument + condition"
0.0017400001000000003,1762,"Todas las muestras
~ Instrument + condition"
0.0017500001,1765,"Todas las muestras
~ Instrument + condition"
0.0017600001,1767,"Todas las muestras
~ Instrument + condition"
0.0017700001000000001,1770,"Todas las muestras
~ Instrument + condition"
0.0017800001000000001,1774,"Todas las muestras
~ Instrument + condition"
0.0017900001000000002,1775,"Todas las muestras
~ Instrument + condition"
0.0018000001000000002,1779,"Todas las muestras
~ Instrument + condition"
0.0018100001000000002,1783,"Todas las muestras
~ Instrument + condition"
0.0018200001000000003,1784,"Todas las muestras
~ Instrument + condition"
0.0018300001000000003,1786,"Todas las muestras
~ Instrument + condition"
0.0018400001,1787,"Todas las muestras
~ Instrument + condition"
0.0018500001000000001,1793,"Todas las muestras
~ Instrument + condition"
0.0018600001000000001,1797,"Todas las muestras
~ Instrument + condition"
0.0018700001000000002,1803,"Todas las muestras
~ Instrument + condition"
0.0018800001000000002,1807,"Todas las muestras
~ Instrument + condition"
0.0018900001000000002,1807,"Todas las muestras
~ Instrument + condition"
0.0019000001000000002,1812,"Todas las muestras
~ Instrument + condition"
0.0019100001000000003,1815,"Todas las muestras
~ Instrument + condition"
0.0019200001000000003,1818,"Todas las muestras
~ Instrument + condition"
0.0019300001000000001,1824,"Todas las muestras
~ Instrument + condition"
0.0019400001000000001,1825,"Todas las muestras
~ Instrument + condition"
0.0019500001000000002,1830,"Todas las muestras
~ Instrument + condition"
0.0019600001000000004,1831,"Todas las muestras
~ Instrument + condition"
0.0019700001,1831,"Todas las muestras
~ Instrument + condition"
0.0019800001,1831,"Todas las muestras
~ Instrument + condition"
0.0019900001,1834,"Todas las muestras
~ Instrument + condition"
0.0020000001,1835,"Todas las muestras
~ Instrument + condition"
0.0020100001,1835,"Todas las muestras
~ Instrument + condition"
0.0020200001,1838,"Todas las muestras
~ Instrument + condition"
0.0020300001,1840,"Todas las muestras
~ Instrument + condition"
0.0020400001,1847,"Todas las muestras
~ Instrument + condition"
0.0020500001,1852,"Todas las muestras
~ Instrument + condition"
0.0020600001000000002,1854,"Todas las muestras
~ Instrument + condition"
0.0020700001000000003,1855,"Todas las muestras
~ Instrument + condition"
0.0020800001000000003,1858,"Todas las muestras
~ Instrument + condition"
0.0020900001000000003,1862,"Todas las muestras
~ Instrument + condition"
0.0021000001000000003,1864,"Todas las muestras
~ Instrument + condition"
0.0021100001000000004,1866,"Todas las muestras
~ Instrument + condition"
0.0021200001000000004,1868,"Todas las muestras
~ Instrument + condition"
0.0021300001000000004,1870,"Todas las muestras
~ Instrument + condition"
0.0021400001,1873,"Todas las muestras
~ Instrument + condition"
0.0021500001,1879,"Todas las muestras
~ Instrument + condition"
0.0021600001,1880,"Todas las muestras
~ Instrument + condition"
0.0021700001,1884,"Todas las muestras
~ Instrument + condition"
0.0021800001,1887,"Todas las muestras
~ Instrument + condition"
0.0021900001,1897,"Todas las muestras
~ Instrument + condition"
0.0022000001,1899,"Todas las muestras
~ Instrument + condition"
0.0022100001,1905,"Todas las muestras
~ Instrument + condition"
0.0022200001000000002,1905,"Todas las muestras
~ Instrument + condition"
0.0022300001000000002,1907,"Todas las muestras
~ Instrument + condition"
0.0022400001000000003,1912,"Todas las muestras
~ Instrument + condition"
0.0022500001000000003,1915,"Todas las muestras
~ Instrument + condition"
0.0022600001000000003,1916,"Todas las muestras
~ Instrument + condition"
0.0022700001000000004,1918,"Todas las muestras
~ Instrument + condition"
0.0022800001000000004,1919,"Todas las muestras
~ Instrument + condition"
0.0022900001000000004,1919,"Todas las muestras
~ Instrument + condition"
0.0023000001000000004,1923,"Todas las muestras
~ Instrument + condition"
0.0023100001,1924,"Todas las muestras
~ Instrument + condition"
0.0023200001,1924,"Todas las muestras
~ Instrument + condition"
0.0023300001,1926,"Todas las muestras
~ Instrument + condition"
0.0023400001,1927,"Todas las muestras
~ Instrument + condition"
0.0023500001,1930,"Todas las muestras
~ Instrument + condition"
0.0023600001,1931,"Todas las muestras
~ Instrument + condition"
0.0023700001,1933,"Todas las muestras
~ Instrument + condition"
0.0023800001,1936,"Todas las muestras
~ Instrument + condition"
0.0023900001000000002,1939,"Todas las muestras
~ Instrument + condition"
0.0024000001000000003,1943,"Todas las muestras
~ Instrument + condition"
0.0024100001000000003,1943,"Todas las muestras
~ Instrument + condition"
0.0024200001000000003,1944,"Todas las muestras
~ Instrument + condition"
0.0024300001000000003,1950,"Todas las muestras
~ Instrument + condition"
0.0024400001000000004,1953,"Todas las muestras
~ Instrument + condition"
0.0024500001000000004,1954,"Todas las muestras
~ Instrument + condition"
0.0024600001000000004,1956,"Todas las muestras
~ Instrument + condition"
0.0024700001000000004,1958,"Todas las muestras
~ Instrument + condition"
0.0024800001,1962,"Todas las muestras
~ Instrument + condition"
0.0024900001,1965,"Todas las muestras
~ Instrument + condition"
0.0025000001,1967,"Todas las muestras
~ Instrument + condition"
0.0025100001,1969,"Todas las muestras
~ Instrument + condition"
0.0025200001,1975,"Todas las muestras
~ Instrument + condition"
0.0025300001,1978,"Todas las muestras
~ Instrument + condition"
0.0025400001,1979,"Todas las muestras
~ Instrument + condition"
0.0025500001000000002,1979,"Todas las muestras
~ Instrument + condition"
0.0025600001000000002,1982,"Todas las muestras
~ Instrument + condition"
0.0025700001000000003,1991,"Todas las muestras
~ Instrument + condition"
0.0025800001000000003,1992,"Todas las muestras
~ Instrument + condition"
0.0025900001000000003,1994,"Todas las muestras
~ Instrument + condition"
0.0026000001000000003,1996,"Todas las muestras
~ Instrument + condition"
0.0026100001000000004,1997,"Todas las muestras
~ Instrument + condition"
0.0026200001000000004,2001,"Todas las muestras
~ Instrument + condition"
0.0026300001000000004,2005,"Todas las muestras
~ Instrument + condition"
0.0026400001000000005,2007,"Todas las muestras
~ Instrument + condition"
0.0026500001,2007,"Todas las muestras
~ Instrument + condition"
0.0026600001,2007,"Todas las muestras
~ Instrument + condition"
0.0026700001,2007,"Todas las muestras
~ Instrument + condition"
0.0026800001,2008,"Todas las muestras
~ Instrument + condition"
0.0026900001,2010,"Todas las muestras
~ Instrument + condition"
0.0027000001,2010,"Todas las muestras
~ Instrument + condition"
0.0027100001,2012,"Todas las muestras
~ Instrument + condition"
0.0027200001000000002,2015,"Todas las muestras
~ Instrument + condition"
0.0027300001000000003,2018,"Todas las muestras
~ Instrument + condition"
0.0027400001000000003,2021,"Todas las muestras
~ Instrument + condition"
0.0027500001000000003,2024,"Todas las muestras
~ Instrument + condition"
0.0027600001000000003,2026,"Todas las muestras
~ Instrument + condition"
0.0027700001000000004,2028,"Todas las muestras
~ Instrument + condition"
0.0027800001000000004,2030,"Todas las muestras
~ Instrument + condition"
0.0027900001000000004,2032,"Todas las muestras
~ Instrument + condition"
0.0028000001000000004,2039,"Todas las muestras
~ Instrument + condition"
0.0028100001000000005,2039,"Todas las muestras
~ Instrument + condition"
0.0028200001,2039,"Todas las muestras
~ Instrument + condition"
0.0028300001,2040,"Todas las muestras
~ Instrument + condition"
0.0028400001,2040,"Todas las muestras
~ Instrument + condition"
0.0028500001,2040,"Todas las muestras
~ Instrument + condition"
0.0028600001,2041,"Todas las muestras
~ Instrument + condition"
0.0028700001,2043,"Todas las muestras
~ Instrument + condition"
0.0028800001,2046,"Todas las muestras
~ Instrument + condition"
0.0028900001000000002,2047,"Todas las muestras
~ Instrument + condition"
0.0029000001000000003,2049,"Todas las muestras
~ Instrument + condition"
0.0029100001000000003,2049,"Todas las muestras
~ Instrument + condition"
0.0029200001000000003,2049,"Todas las muestras
~ Instrument + condition"
0.0029300001000000003,2052,"Todas las muestras
~ Instrument + condition"
0.0029400001000000004,2054,"Todas las muestras
~ Instrument + condition"
0.0029500001000000004,2055,"Todas las muestras
~ Instrument + condition"
0.0029600001000000004,2059,"Todas las muestras
~ Instrument + condition"
0.0029700001000000005,2061,"Todas las muestras
~ Instrument + condition"
0.0029800001000000005,2063,"Todas las muestras
~ Instrument + condition"
0.0029900001,2065,"Todas las muestras
~ Instrument + condition"
0.0030000001,2066,"Todas las muestras
~ Instrument + condition"
0.0030100001,2066,"Todas las muestras
~ Instrument + condition"
0.0030200001,2069,"Todas las muestras
~ Instrument + condition"
0.0030300001,2071,"Todas las muestras
~ Instrument + condition"
0.0030400001,2072,"Todas las muestras
~ Instrument + condition"
0.0030500001000000002,2077,"Todas las muestras
~ Instrument + condition"
0.0030600001000000003,2078,"Todas las muestras
~ Instrument + condition"
0.0030700001000000003,2081,"Todas las muestras
~ Instrument + condition"
0.0030800001000000003,2084,"Todas las muestras
~ Instrument + condition"
0.0030900001000000003,2086,"Todas las muestras
~ Instrument + condition"
0.0031000001000000004,2087,"Todas las muestras
~ Instrument + condition"
0.0031100001000000004,2088,"Todas las muestras
~ Instrument + condition"
0.0031200001000000004,2090,"Todas las muestras
~ Instrument + condition"
0.0031300001000000004,2091,"Todas las muestras
~ Instrument + condition"
0.0031400001000000005,2092,"Todas las muestras
~ Instrument + condition"
0.0031500001000000005,2093,"Todas las muestras
~ Instrument + condition"
0.0031600001,2094,"Todas las muestras
~ Instrument + condition"
